SNOMEDCTCodes,Description
32813911000001107,Taltz 80mg/1ml solution for injection pre-filled pens (Eli Lilly and Company Ltd)
33689911000001107,Taltz 80mg/1ml solution for injection pre-filled pens (Eli Lilly and Company Ltd) 1 pre-filled disposable injection
32814011000001105,Taltz 80mg/1ml solution for injection pre-filled pens (Eli Lilly and Company Ltd) 2 pre-filled disposable injection
32813611000001101,Taltz 80mg/1ml solution for injection pre-filled syringes (Eli Lilly and Company Ltd)
32813711000001105,Taltz 80mg/1ml solution for injection pre-filled syringes (Eli Lilly and Company Ltd) 1 pre-filled disposable injection
32817311000001104,Ixekizumab 80mg/1ml solution for injection pre-filled syringes
32813511000001100,Ixekizumab 80mg/1ml solution for injection pre-filled syringes 1 pre-filled disposable injection
32816911000001101,Ixekizumab 80mg/1ml solution for injection pre-filled disposable devices
33689811000001102,Ixekizumab 80mg/1ml solution for injection pre-filled disposable devices 1 pre-filled disposable injection
32813811000001102,Ixekizumab 80mg/1ml solution for injection pre-filled disposable devices 2 pre-filled disposable injection
