ProdCodeId,Description
10487641000033119,ruxolitinib 10mg tablets
10487741000033111,jakavi 10mg tablets (novartis pharmaceuticals uk ltd)
12205341000033114,tofacitinib 5mg tablets
12205541000033119,xeljanz 5mg tablets (pfizer ltd)
12207541000033111,baricitinib 4mg tablets
12207641000033112,olumiant 4mg tablets (eli lilly and company ltd)
12352141000033118,baricitinib 2mg tablets
12352241000033113,olumiant 2mg tablets (eli lilly and company ltd)
12635441000033113,tofacitinib 10mg tablets
12635541000033114,xeljanz 10mg tablets (pfizer ltd)
13426841000033112,tofacitinib 11mg modified-release tablets
13426941000033116,xeljanz 11mg modified-release tablets (pfizer ltd)
13452341000033115,upadacitinib 15mg modified-release tablets
13452441000033114,rinvoq 15mg modified-release tablets (abbvie ltd)
8123541000033118,ruxolitinib 5mg tablets
8123641000033117,ruxolitinib 15mg tablets
8123741000033114,ruxolitinib 20mg tablets
8123841000033116,jakavi 5mg tablets (novartis pharmaceuticals uk ltd)
8123941000033112,jakavi 15mg tablets (novartis pharmaceuticals uk ltd)
8124041000033114,jakavi 20mg tablets (novartis pharmaceuticals uk ltd)
