SNOMEDCTCodes,Description
39629311000001103,Inrebic 100mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd)
39629511000001109,Inrebic 100mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd) 120 capsule
39818911000001106,Fedratinib 100mg capsules
39629111000001100,Fedratinib 100mg capsules 120 capsule
39043411000001101,Jyseleca 100mg tablets (Alfasigma UK Ltd)
39043611000001103,Jyseleca 100mg tablets (Alfasigma UK Ltd) 30 tablet
39042911000001102,Jyseleca 200mg tablets (Alfasigma UK Ltd)
39043111000001106,Jyseleca 200mg tablets (Alfasigma UK Ltd) 30 tablet
39046211000001107,Filgotinib 100mg tablets
39043311000001108,Filgotinib 100mg tablets 30 tablet
39046311000001104,Filgotinib 200mg tablets
39042811000001107,Filgotinib 200mg tablets 30 tablet
40107611000001106,Cibinqo 100mg tablets (Pfizer Ltd)
40107711000001102,Cibinqo 100mg tablets (Pfizer Ltd) 28 tablet 4 x 7 tablets
40107911000001100,Cibinqo 200mg tablets (Pfizer Ltd)
40108011000001103,Cibinqo 200mg tablets (Pfizer Ltd) 28 tablet 4 x 7 tablets
40107311000001101,Cibinqo 50mg tablets (Pfizer Ltd)
40107411000001108,Cibinqo 50mg tablets (Pfizer Ltd) 28 tablet 4 x 7 tablets
40163611000001104,Abrocitinib 50mg tablets
40107211000001109,Abrocitinib 50mg tablets 28 tablet
40163011000001106,Abrocitinib 100mg tablets
40107511000001107,Abrocitinib 100mg tablets 28 tablet
40163111000001107,Abrocitinib 200mg tablets
40107811000001105,Abrocitinib 200mg tablets 28 tablet
29861211000001108,Tofacitinib 5mg tablets (Special Order)
29861311000001100,Tofacitinib 5mg tablets (Special Order) 1 tablet
38101111000001109,Xeljanz 11mg modified-release tablets (Pfizer Ltd)
38101211000001103,Xeljanz 11mg modified-release tablets (Pfizer Ltd) 28 tablet 4 x 7 tablets
40243311000001103,Xeljanz 1mg/ml oral solution (Pfizer Ltd)
40243711000001104,Xeljanz 1mg/ml oral solution (Pfizer Ltd) 240 ml
34275911000001103,Xeljanz 5mg tablets (Pfizer Ltd)
34276011000001106,Xeljanz 5mg tablets (Pfizer Ltd) 56 tablet 4 x 14 tablets
35725811000001107,Xeljanz 10mg tablets (Pfizer Ltd)
35725911000001102,Xeljanz 10mg tablets (Pfizer Ltd) 56 tablet 4 x 14 tablets
40418611000001106,Tofacitinib 1mg/ml oral solution sugar free
40243211000001106,Tofacitinib 1mg/ml oral solution sugar free 240 ml
35734311000001100,Tofacitinib 10mg tablets
35725411000001105,Tofacitinib 10mg tablets 56 tablet
38162311000001103,Tofacitinib 11mg modified-release tablets
38101011000001108,Tofacitinib 11mg modified-release tablets 28 tablet
704317002,Tofacitinib 5mg tablets
39705411000001108,Tofacitinib 5mg tablets
29861111000001102,Tofacitinib 5mg tablets 1 tablet
34275811000001108,Tofacitinib 5mg tablets 56 tablet
41085811000001102,Rinvoq 45mg modified-release tablets (AbbVie Ltd)
41085911000001107,Rinvoq 45mg modified-release tablets (AbbVie Ltd) 28 tablet 4 x 7 tablets
38067411000001101,Rinvoq 15mg modified-release tablets (AbbVie Ltd)
38067511000001102,Rinvoq 15mg modified-release tablets (AbbVie Ltd) 28 tablet 4 x 7 tablets
40062811000001103,Rinvoq 30mg modified-release tablets (AbbVie Ltd)
40062911000001108,Rinvoq 30mg modified-release tablets (AbbVie Ltd) 28 tablet 4 x 7 tablets
38067611000001103,Upadacitinib 15mg modified-release tablets
38067311000001108,Upadacitinib 15mg modified-release tablets 28 tablet
40087811000001102,Upadacitinib 30mg modified-release tablets
40062711000001106,Upadacitinib 30mg modified-release tablets 28 tablet
41089711000001107,Upadacitinib 45mg modified-release tablets
41085611000001101,Upadacitinib 45mg modified-release tablets 28 tablet
21274511000001100,Jakavi 20mg tablets (Novartis Pharmaceuticals UK Ltd)
22975011000001109,Jakavi 20mg tablets (Novartis Pharmaceuticals UK Ltd) 56 tablet 4 x 14 tablets
21274611000001101,Jakavi 20mg tablets (Novartis Pharmaceuticals UK Ltd) 60 tablet
29507211000001103,Jakavi 10mg tablets (Novartis Pharmaceuticals UK Ltd)
29507611000001101,Jakavi 10mg tablets (Novartis Pharmaceuticals UK Ltd) 56 tablet 4 x 14 tablets
21275311000001105,Jakavi 15mg tablets (Novartis Pharmaceuticals UK Ltd)
22974811000001104,Jakavi 15mg tablets (Novartis Pharmaceuticals UK Ltd) 56 tablet 4 x 14 tablets
21275411000001103,Jakavi 15mg tablets (Novartis Pharmaceuticals UK Ltd) 60 tablet
21275011000001107,Jakavi 5mg tablets (Novartis Pharmaceuticals UK Ltd)
22951811000001103,Jakavi 5mg tablets (Novartis Pharmaceuticals UK Ltd) 56 tablet 4 x 14 tablets
21275111000001108,Jakavi 5mg tablets (Novartis Pharmaceuticals UK Ltd) 60 tablet
39703511000001108,Ruxolitinib 5mg tablets
703780001,Ruxolitinib 5mg tablets
21290911000001109,Ruxolitinib 5mg tablets
