SNOMEDCTCodes,Description
36450011000001103,Ketotifen 250micrograms/5ml oral suspension (Special Order)
36450111000001102,Ketotifen 250micrograms/5ml oral suspension (Special Order) 1 ml
39070111000001100,Ketotifen 1mg capsules (Special Order)
39070211000001106,Ketotifen 1mg capsules (Special Order) 1 capsule
38957011000001107,Ketotifen 1mg/5ml oral solution sugar free (Special Order)
38957211000001102,Ketotifen 1mg/5ml oral solution sugar free (Special Order) 1 ml
36449711000001105,Ketotifen 500micrograms/5ml oral solution (Special Order)
36449811000001102,Ketotifen 500micrograms/5ml oral solution (Special Order) 1 ml
39000311000001106,Ketotifen 1mg/5ml oral solution sugar free (Imported)
39000411000001104,Ketotifen 1mg/5ml oral solution sugar free (Imported) 300 ml
14764911000001101,Zaditen 1mg tablets (Sigma Pharmaceuticals Plc)
14765011000001101,Zaditen 1mg tablets (Sigma Pharmaceuticals Plc) 60 tablet
5494011000001103,Zaditen 1mg capsules (Waymade Healthcare Plc)
5494111000001102,Zaditen 1mg capsules (Waymade Healthcare Plc) 60 capsule
3777611000001105,Zaditen 1mg tablets (CD Pharma Srl)
3777711000001101,Zaditen 1mg tablets (CD Pharma Srl) 60 tablet 6 x 10 tablets
4540511000001105,Zaditen 1mg capsules (Novartis Pharmaceuticals UK Ltd)
4540611000001109,Zaditen 1mg capsules (Novartis Pharmaceuticals UK Ltd) 56 capsule
4027611000001107,Zaditen 1mg/5ml elixir (CD Pharma Srl)
4027811000001106,Zaditen 1mg/5ml elixir (CD Pharma Srl) 300 ml
36459311000001109,Ketotifen 250micrograms/5ml oral suspension
36449911000001107,Ketotifen 250micrograms/5ml oral suspension 1 ml
39696911000001104,Ketotifen 1mg capsules
320666001,Ketotifen 1mg capsules
39070011000001101,Ketotifen 1mg capsules 1 capsule
4540211000001107,Ketotifen 1mg capsules 56 capsule
5493911000001101,Ketotifen 1mg capsules 60 capsule
4030311000001100,Ketotifen 1mg/5ml oral solution sugar free
38956711000001106,Ketotifen 1mg/5ml oral solution sugar free 1 ml
4027511000001108,Ketotifen 1mg/5ml oral solution sugar free 300 ml
36459411000001102,Ketotifen 500micrograms/5ml oral solution
36449611000001101,Ketotifen 500micrograms/5ml oral solution 1 ml
39697111000001104,Ketotifen 1mg tablets
320667005,Ketotifen 1mg tablets
3777511000001106,Ketotifen 1mg tablets 60 tablet
