ProdCodeId,Description
12484741000033114,ketotifen 250micrograms/ml eye drops 0.4ml unit dose preservative free
12484841000033116,ketofall 0.25mg/ml eye drops 0.4ml unit dose (scope ophthalmics ltd)
1548141000033117,zaditen 1mg capsules (novartis pharmaceuticals uk ltd)
1549641000033118,zaditen 1mg/5ml elixir (cd pharma srl)
1550341000033119,zaditen 1mg tablets (cd pharma srl)
2728841000033111,ketotifen 250micrograms/ml eye drops
2728941000033115,zaditen 250micrograms/ml eye drops (thea pharmaceuticals ltd)
797541000033117,ketotifen 1mg capsules
798341000033111,ketotifen 1mg/5ml oral solution sugar free
803841000033110,ketotifen 1mg tablets
