CTV3Codes,Description
c8o..,Loratadine
c8o1.,Loratadine 10mg tablet
c8o2.,Clarityn 10mg tablet
c8o6.,Clarityn Allergy 10mg tablet
c8o7.,Galpharm Non-Drowsy Allergy Relief 10mg tablet
c8o9.,Galpharm Non-Drowsy Hayfever & Allergy Relief 10mg tablet
c8o8.,Numark Non-Drowsy Allergy Relief 10mg tablet
c8oB.,Vantage Pharmacy Non-Drowsy Allergy Relief 10mg tablet
c8o3.,Loratadine 5mg/5mL syrup
c8o4.,Clarityn 5mg/5mL syrup
c8o5.,Clarityn Allergy 5mg/5mL syrup
c8oA.,Galpharm Non-Drowsy Allergy Relief 5mg/5mL syrup
c8oC.,Vantage Non-Drowsy Allergy Relief 5mg/5mL syrup
