V2Codes,Description
c8o..,LORATADINE
c8o1.,LORATADINE 10mg tablets
c8o2.,*CLARITYN 10mg tablets
c8o3.,LORATADINE 5mg/5mL syrup
c8o4.,*CLARITYN 5mg/5mL syrup
c8o5.,CLARITYN ALLERGY 5mg/5mL syrup
c8o6.,CLARITYN ALLERGY 10mg tablets
c8o7.,GALPHARM NON-DROWSY ALLERGY RELIEF 10mg tablets
c8o8.,NUMARK NON-DROWSY ALLERGY RELIEF 10mg tablets
c8o9.,GALPHARM NON-DROWSY HAYFEVER&ALLERGY RELIEF 10mg tablets
c8oA.,GALPHARM NON-DROWSY ALLERGY RELIEF 5mg/5mL syrup
c8oB.,VANTAGE PHARMACY NON-DROWSY ALLERGY RELIEF 10mg tablets
c8oC.,VANTAGE PHARMACY NON-DROWSY ALLERGY RELIEF 5mg/5mL syrup
