ProdCodeId,Description
11718041000033112,icenia melatonin 3mg capsules (imported (bulgaria))
12608441000033113,melatonin 3mg modified-release tablets
12687741000033118,melatonin 2mg modified-release capsules
13000041000033115,melatonin 1mg modified-release tablets
13000141000033116,melatonin 5mg modified-release tablets
13000241000033111,slenyto 1mg modified-release tablets (flynn pharma ltd)
13000341000033118,slenyto 5mg modified-release tablets (flynn pharma ltd)
13007941000033115,icenia melatonin 2mg capsules (imported (bulgaria))
13008041000033117,icenia melatonin 5mg capsules (imported (bulgaria))
13122341000033117,melatonin 1mg/ml oral solution sugar free
13285041000033117,melatonin 4mg/5ml oral suspension
13292441000033115,melatonin 5mg/5ml oral solution alcohol free (drug tariff special order)
13292541000033119,melatonin 5mg/5ml oral suspension alcohol free (drug tariff special order)
13716441000033110,syncrodin 3mg tablets (pharma nord (uk) ltd)
1850541000033113,melatonin 3mg capsules
2190241000033114,melatonin 3mg tablets
2190341000033116,melatonin 2.5mg capsules
2758241000033111,melatonin 1mg capsules
3197841000033118,melatonin 3mg modified-release capsules
3246541000033112,melatonin liquid (orange) 1 mg/ml
4042941000033114,melatonin 1mg tablets
4267041000033112,melatonin liquid (strawberry) 1 mg/ml
4518341000033115,melatonin 2mg modified-release tablets
4518441000033114,circadin 2mg modified-release tablets (flynn pharma ltd)
5641241000033110,melatonin 10mg capsules
5884041000033115,bio-melatonin 3mg tablets (imported (denmark))
5972141000033111,melatonin 10mg/5ml oral solution
5972241000033116,melatonin 10mg/5ml oral suspension
5972341000033114,melatonin 2.5mg/5ml oral suspension
5972441000033115,melatonin 2mg/5ml oral solution
5972541000033119,melatonin 2mg/5ml oral suspension
5972641000033118,melatonin 3mg/5ml oral solution
5972741000033110,melatonin 3mg/5ml oral suspension
5977641000033116,melatonin 5mg/5ml oral solution
5998741000033118,melatonin 5mg tablets
6001741000033117,melatonin 5mg/5ml oral suspension
6132741000033113,melatonin tablets 200 micrograms
873341000033110,melatonin 2mg capsules
873441000033116,melatonin 5mg capsules
9776141000033110,melatonin 2.5mg/5ml oral solution
