CTV3Codes,Description
x00yI,Topical hydrocortisone
m41..,Hydrocortisone creams
m41u.,Hydrocortisone 0.1% cream
x04pc,Dayleve 0.1% cream
m41t.,Dayleve 0.1% cream 15g
m41q.,Dermacort cream
x00G6,Dioderm cream
m41e.,Dioderm 0.1% cream 30g
m415.,Hydrocortisone 0.1% cream 30g
m416.,Hydrocortisone 0.125% cream
m41f.,Dome-Cort 0.125% cream
x00Gl,Hydrocortisone 0.5% cream
x00GM,Efcortelan 0.5% cream
m41g.,Efcortelan 0.5% cream 15g
m41n.,Efcortelan 0.5% cream 30g
m417.,Hydrocortisone 0.5% cream 15g
m418.,Hydrocortisone 0.5% cream 30g
m419.,Hydrocortisone 0.5% cream 50g
m41a.,Hydrocortisone 0.5% cream 100g
x00GN,Efcortelan 1% cream
m41i.,Efcortelan 1% cream 50g
m41o.,Efcortelan 1% cream 30g
x05r8,Exe-Cort Hydrocortisone 1% cream
m41w.,Exe-Cort Hydrocortisone 1% cream 15g
m41r.,HC45 cream
x00Gp,Hydrocortisyl 1% cream
m41l.,Hydrocortisyl 1% cream 15g
x00H2,Mildison Lipocream 1% cream
m41m.,Mildison Lipocream 1% cream 30g
m411.,Hydrocortisone 1% cream 15g
m412.,Hydrocortisone 1% cream 30g
m413.,Hydrocortisone 1% cream 50g
m414.,Hydrocortisone 1% cream 100g
m41s.,Kerfoot hydrocortisone cream
m41D.,Hydrocortisone 1% aqueous cream
m41v.,Zenoxone 1% aqueous cream
m41b.,Hydrocortisone 2.5% cream
x00GO,Efcortelan 2.5% cream
m41j.,Efcortelan 2.5% cream 15g
m41p.,Efcortelan 2.5% cream 30g
m41C.,Hydrocortisone 2.5% cream 50g
m4pz.,Hydrocortisone acetate 1% cream
m4p1.,Hydrocal 1% cream
m41k.,Hydrocortistab 1% cream 15g
m4p2.,Lanacort cream
m42..,Hydrocortisone ointments
x027S,Hydrocortisone 0.5% ointment
x00Wu,Efcortelan 0.5% ointment
m425.,Efcortelan 0.5% ointment 15g
m42c.,Efcortelan 0.5% ointment 30g
m421.,Hydrocortisone 0.5% ointment 15g
x00X5,Hydrocortisone 1% ointment
x00X7,Hydrocortistab 1% ointment
m429.,Hydrocortistab 1% ointment 15g
x00X8,Hydrocortisyl 1% ointment
m42a.,Hydrocortisyl 1% ointment 15g
x00Wv,Efcortelan 1% ointment
m426.,Efcortelan P 1% ointment 15g
m427.,Efcortelan 1% ointment 50g
m42d.,Efcortelan 1% ointment 30g
m422.,Hydrocortisone 1% ointment 15g
m423.,Hydrocortisone 1% ointment 30g
m424.,Hydrocortisone 1% ointment 100g
m42b.,Hydrocortisone 2.5% ointment
x00Ww,Efcortelan 2.5% ointment
m428.,Efcortelan 2.5% ointment 15g
m42e.,Efcortelan 2.5% ointment 30g
m42g.,Hydrocortisone acetate 1% ointment
m42f.,Lanacort ointment
m431.,Hydrocortisone 1% lotion
x01NR,Efcortelan 1% lotion
m432.,Efcortelan 1% lotion 20mL
ai14.,Hydrocortisone acetate 10% rectal foam
m4p..,Hydrocortisone acetate [topical]
m4gw.,Fluocinolone acetonide 0.0025% cream
x029T,Synalar 1:10 cream
m4g9.,Synalar 1:10 cream 50g
