CTV3Codes,Description
x00Fd,Betnovate RD cream
x00We,Betnovate RD ointment
m48b.,Betnovate RD 0.025% ointment 100g
m48a.,Betnovate RD 0.025% cream 100g
m4by.,Clobetasone butyrate 0.05% cream
x00GS,Eumovate cream
m4bz.,Clobetasone butyrate 0.05% ointment
x00Wx,Eumovate ointment
m4b3.,Eumovate 0.05% ointment 30g
m4b4.,Eumovate 0.05% ointment 100g
m4jw.,Fludroxycortide 0.0125% cream
x01NH,Haelan 0.0125% cream
m4jx.,Fludroxycortide 0.0125% ointment
x01NI,Haelan 0.0125% ointment
m4j2.,Haelan 0.0125% ointment 60g
m46..,Alclometasone dipropionate
m46y.,Alclometasone dipropionate 0.05% cream
x01MO,Modrasone 0.05% cream
m461.,Modrasone 0.05% cream 15g
m462.,Modrasone 0.05% cream 50g
m46z.,Alclometasone dipropionate 0.05% ointment
x01MP,Modrasone 0.05% ointment
m463.,Modrasone 0.05% ointment 15g
m464.,Modrasone 0.05% ointment 50g
m4gs.,Fluocinolone acetonide 0.00625% ointment
x01N1,Synalar 1:4 ointment
m4gi.,Synalar 1:4 ointment 50g
m4g8.,Synalar 1:4 cream 50g
x01ND,Ultralanum Plain cream
m4i5.,Ultralanum Plain cream 30g
m4if.,Ultralanum Plain cream 50g
x01NF,Ultralanum Plain ointment
m4i7.,Ultralanum Plain ointment 30g
m4ig.,Ultralanum Plain ointment 50g
m44z.,Hydrocortisone+urea 1%/10% cream
x00FN,Alphaderm cream
m441.,Alphaderm cream 30g
m442.,Alphaderm cream 100g
m48m.,Betamethasone 0.025% cream
