SNOMEDCTCodes,Description
4418311000001102,Ultralanum Plain ointment - Meadow Laboratories Ltd
4418511000001108,Ultralanum Plain ointment 50 gram - Meadow Laboratories Ltd
3764811000001109,Ultralanum Plain cream - Meadow Laboratories Ltd
3764911000001104,Ultralanum Plain cream 50 gram - Meadow Laboratories Ltd
4435311000001100,Fluocortolone 0.25% / Fluocortolone hexanoate 0.25% ointment
4418111000001104,Fluocortolone 0.25% / Fluocortolone hexanoate 0.25% ointment 50 gram
36067811000001107,Fluocortolone hexanoate 0.25% / Fluocortolone pivalate 0.25% cream
331964000,Fluocortolone hexanoate 0.25% / Fluocortolone pivalate 0.25% cream
3764511000001106,Fluocortolone hexanoate 0.25% / Fluocortolone pivalate 0.25% cream 50 gram
8387911000001105,Synalar 1 in 4 Dilution 0.00625% ointment - Reig Jofre UK Ltd
8388511000001104,Synalar 1 in 4 Dilution 0.00625% ointment 50 gram - Reig Jofre UK Ltd
9511000001103,Synalar 1 in 4 Dilution 0.00625% cream - Reig Jofre UK Ltd
2164711000001104,Synalar 1 in 4 Dilution 0.00625% cream 50 gram - Reig Jofre UK Ltd
331937001,Fluocinolone acetonide 0.00625% ointment
8387311000001109,Fluocinolone acetonide 0.00625% ointment 50 gram
331940001,Fluocinolone acetonide 0.00625% cream
1097911000001100,Fluocinolone acetonide 0.00625% cream 50 gram
2895311000001106,Modrasone 0.05% ointment - Teva UK Ltd
2895411000001104,Modrasone 0.05% ointment 50 gram - Teva UK Ltd
2894811000001103,Modrasone 0.05% cream - Teva UK Ltd
2894911000001108,Modrasone 0.05% cream 50 gram - Teva UK Ltd
331777001,Alclometasone 0.05% cream
20584211000001105,Alclometasone 0.05% cream 15 gram
2894711000001106,Alclometasone 0.05% cream 50 gram
331778006,Alclometasone 0.05% ointment
2895111000001109,Alclometasone 0.05% ointment 50 gram
3675411000001109,Haelan 0.0125% cream - Typharm Ltd
3675711000001103,Haelan 0.0125% cream 60 gram - Typharm Ltd
3825111000001109,Haelan 0.0125% ointment - Typharm Ltd
3825211000001103,Haelan 0.0125% ointment 60 gram - Typharm Ltd
4736811000001108,Haelan 4micrograms/square cm tape 7.5cm - Typharm Ltd
32422311000001104,Haelan 4micrograms/square cm tape 7.5cm 20 cm - Typharm Ltd
4736911000001103,Haelan 4micrograms/square cm tape 7.5cm 50 cm - Typharm Ltd
4737411000001108,Haelan 4micrograms/square cm tape 7.5cm 200 cm - Typharm Ltd
331976000,Fludroxycortide 0.0125% cream
3675111000001104,Fludroxycortide 0.0125% cream 60 gram
331977009,Fludroxycortide 0.0125% ointment
3825011000001108,Fludroxycortide 0.0125% ointment 60 gram
4747111000001104,Fludroxycortide 4micrograms/square cm tape 7.5cm
32422211000001107,Fludroxycortide 4micrograms/square cm tape 7.5cm 20 cm
33220911000001108,Fludroxycortide 4micrograms/square cm tape 7.5cm 40 cm
4736711000001100,Fludroxycortide 4micrograms/square cm tape 7.5cm 50 cm
33221111000001104,Fludroxycortide 4micrograms/square cm tape 7.5cm 80 cm
4737211000001109,Fludroxycortide 4micrograms/square cm tape 7.5cm 200 cm
16201011000001102,Eumovate 0.05% cream - Waymade Healthcare Plc
