ProdCodeId,Description
10252341000033115,coal tar solution 10% in clobetasone 0.05% ointment
124841000033111,betamethasone valerate 0.025% cream
125341000033118,betnovate rd 0.025% cream (glaxosmithkline uk ltd)
134241000033114,betamethasone valerate 0.025% ointment
134441000033110,betnovate rd 0.025% ointment (glaxosmithkline uk ltd)
1399841000033114,synalar 1 in 4 dilution 0.00625% cream (reig jofre uk ltd)
1402441000033112,synalar 1 in 4 dilution 0.00625% ointment (reig jofre uk ltd)
1482941000033115,ultralanum plain cream (meadow laboratories ltd)
1484341000033113,ultralanum plain ointment (meadow laboratories ltd)
25441000033115,alclometasone 0.05% cream
266141000033115,clobetasone 0.05% cream
278041000033114,clobetasone 0.05% ointment
2967941000033118,eumovate eczema and dermatitis 0.05% cream (glaxosmithkline consumer healthcare)
3091341000033112,fludroxycortide 0.0125% cream
3091441000033118,fludroxycortide 0.0125% ointment
3269841000033112,fluocortolone hexanoate 0.25% / fluocortolone pivalate 0.25% cream
3269941000033116,fluocortolone 0.25% / fluocortolone hexanoate 0.25% ointment
33241000033115,alclometasone 0.05% ointment
5404341000033111,coal tar solution 5% in betamethasone valerate 0.025% ointment
5489341000033111,fludroxycortide 4micrograms/square cm tape 7.5cm
5489441000033117,haelan 4micrograms/square cm tape 7.5cm (typharm ltd)
552641000033114,eumovate 0.05% cream (glaxosmithkline uk ltd)
555341000033113,eumovate 0.05% ointment (glaxosmithkline uk ltd)
580741000033114,fluocinolone acetonide 0.00625% cream
589641000033112,fluocinolone acetonide 0.00625% ointment
658641000033119,haelan 0.0125% cream (typharm ltd)
661041000033110,haelan 0.0125% ointment (typharm ltd)
9200741000033114,coal tar solution 10% in betamethasone valerate 0.025% ointment
9258341000033115,coal tar 5% in clobetasone 0.05% ointment
