SNOMEDCTCodes,Description
18342411000001105,Mycophenolate mofetil 250mg capsules (Alliance Healthcare (Distribution) Ltd)
18342511000001109,Mycophenolate mofetil 250mg capsules (Alliance Healthcare (Distribution) Ltd) 100 capsule
24028011000001102,Mycophenolate mofetil 250mg capsules (CST Pharma Ltd)
24028111000001101,Mycophenolate mofetil 250mg capsules (CST Pharma Ltd) 100 capsule
24571011000001105,Mycophenolate mofetil 250mg capsules (Mawdsley-Brooks & Company Ltd)
24571111000001106,Mycophenolate mofetil 250mg capsules (Mawdsley-Brooks & Company Ltd) 100 capsule
18728911000001102,Mycophenolate mofetil 250mg capsules (Sigma Pharmaceuticals Plc)
18729211000001101,Mycophenolate mofetil 250mg capsules (Sigma Pharmaceuticals Plc) 100 capsule
21808611000001106,Mycophenolate mofetil 250mg capsules (Waymade Healthcare Plc)
21808711000001102,Mycophenolate mofetil 250mg capsules (Waymade Healthcare Plc) 100 capsule
18310611000001104,Mycophenolate mofetil 500mg tablets (A A H Pharmaceuticals Ltd)
18310711000001108,Mycophenolate mofetil 500mg tablets (A A H Pharmaceuticals Ltd) 50 tablet 5 x 10 tablets
18622911000001106,Mycophenolate mofetil 500mg tablets (Phoenix Healthcare Distribution Ltd)
18623011000001103,Mycophenolate mofetil 500mg tablets (Phoenix Healthcare Distribution Ltd) 50 tablet
12986311000001108,Mycophenolate mofetil 250mg/5ml oral suspension (Special Order)
12986411000001101,Mycophenolate mofetil 250mg/5ml oral suspension (Special Order) 1 ml
22352411000001100,Mycophenolate mofetil 250mg capsules (AM Distributions (Yorkshire) Ltd)
22352511000001101,Mycophenolate mofetil 250mg capsules (AM Distributions (Yorkshire) Ltd) 100 capsule
22605811000001106,Mycophenolate mofetil 250mg capsules (Colorama Pharmaceuticals Ltd)
22605911000001101,Mycophenolate mofetil 250mg capsules (Colorama Pharmaceuticals Ltd) 100 capsule
22409911000001101,Mycophenolate mofetil 250mg capsules (DE Pharmaceuticals)
22410011000001106,Mycophenolate mofetil 250mg capsules (DE Pharmaceuticals) 100 capsule
18622711000001109,Mycophenolate mofetil 250mg capsules (Phoenix Healthcare Distribution Ltd)
18622811000001101,Mycophenolate mofetil 250mg capsules (Phoenix Healthcare Distribution Ltd) 100 capsule
18164511000001101,Mycophenolate mofetil 500mg tablets (Actavis UK Ltd)
18164611000001102,Mycophenolate mofetil 500mg tablets (Actavis UK Ltd) 50 tablet 5 x 10 tablets
22464411000001109,Mycophenolate mofetil 500mg tablets (Arrow Generics Ltd)
