CTV3Codes,Description
x01Na,Oral hydrocortisone
fe41.,Hydrocortisone 10mg tablet
fe44.,Hydrocortone 10mg tablet
fe42.,Hydrocortisone 20mg tablet
fe43.,Hydrocortistab 20mg tablet
fe45.,Hydrocortone 20mg tablet
fe4e.,PLENADREN 5mg m/r tablets
fe4f.,HYDROCORTISONE 5mg m/r tablets
fe4g.,PLENADREN 20mg m/r tablets
fe4h.,HYDROCORTISONE 20mg m/r tablets
fe21.,Cortisone acetate 5mg tablet
fe24.,Cortistab 5mg tablet
fe22.,Cortisone acetate 25mg tablet
fe23.,Cortelan 25mg tablet
fe25.,Cortistab 25mg tablet
fe26.,Cortisyl 25mg tablet
