CTV3Codes,Description
x00yP,Oral prednisolone
fe6h.,Prednisolone 2.5mg e/c tablet
fe65.,Deltacortril Enteric 2.5mg e/c tablet
fe6i.,Prednisolone 5mg e/c tablet
fe66.,Deltacortril Enteric 5mg e/c tablet
fe61.,Prednisolone 1mg tablet
fe67.,Deltalone 1mg tablet
fe69.,Deltastab 1mg tablet
fe6c.,Precortisyl 1mg tablet
fe6v.,Prednisolone 2.5mg tablet
fe62.,Prednisolone 5mg tablet
fe68.,Deltalone 5mg tablet
fe64.,Delta-Phoricol 5mg tablet
fe6a.,Deltastab 5mg tablet
fe6d.,Precortisyl 5mg tablet
fe6g.,Sintisone 5mg tablet
fe6z.,Prednisolone 25mg tablet
fe6e.,Precortisyl Forte 25mg tablet
fe6k.,Prednisolone 50mg tablet
fe6j.,Prednisolone 5mg soluble tablet
fe6f.,Prednesol 5mg tablet
fe6t.,PREDNISOLONE 10mg tablets
fe6s.,PREDNISOLONE 20mg tablets
fe6l.,DILACORT 5mg gastro-resistant tablets
fe6m.,DILACORT 2.5mg gastro-resistant tablets
fe6n.,PEVANTI 2.5mg tablets
fe6o.,PEVANTI 25mg tablets
fe6p.,PEVANTI 5mg tablets
fe6q.,PEVANTI 10mg tablets
fe6r.,PEVANTI 20mg tablets
fe71.,Prednisone 1mg tablet
fe74.,Econosone 1mg tablet
fe72.,Prednisone 5mg tablet
fe73.,Decortisyl 5mg tablet
fe75.,Econosone 5mg tablet
fe76.,Prednisone 20mg tablet
fe77.,LODOTRA 2mg m/r tablets
fe78.,LODOTRA 5mg m/r tablets
fe79.,LODOTRA 1mg m/r tablets
fe7x.,PREDNISONE 5mg m/r tablets
fe7y.,PREDNISONE 2mg m/r tablets
fe7z.,PREDNISONE 1mg m/r tablets
