ProdCodeId,Description
10212141000033111,prednisolone 10mg tablets
10212341000033114,prednisolone 20mg tablets
10212441000033115,pevanti 2.5mg tablets (advanz pharma)
10212541000033119,pevanti 5mg tablets (advanz pharma)
10212641000033118,pevanti 10mg tablets (advanz pharma)
10212741000033110,pevanti 20mg tablets (advanz pharma)
10212941000033113,pevanti 25mg tablets (advanz pharma)
10266841000033117,prednisolone 5mg/5ml oral solution unit dose
10494341000033117,prednisolone 10mg/ml oral solution sugar free
10988941000033111,prednisolone dompe oral solution 5 mg/5 ml unit dose
1114241000033116,prednisolone 2.5mg gastro-resistant tablets
1114341000033114,prednisolone 5mg gastro-resistant tablets
1127341000033111,prednisolone 5mg soluble tablets
1130741000033110,prednisolone 25mg tablets
1130841000033117,prednisolone steaglate tablets 6.65 mg
1131741000033117,prednisolone 1mg tablets
1131841000033110,prednisolone 2.5mg tablets
1131941000033119,prednisolone 5mg tablets
1132041000033113,prednisone tablets 1 mg
1132141000033112,prednisone tablets 5 mg
11507841000033115,prednisolone 1mg gastro-resistant tablets
11664841000033116,prednisolone 30mg tablets
2509341000033118,*prednisolone tablets
2509441000033112,*prednisolone granules
2509541000033113,*prednisolone liquid
2509641000033114,*prednisolone powder
2509741000033117,*prednisolone pills (sucrose)
431541000033114,deltacortril 2.5mg gastro-resistant tablets (phoenix labs ltd)
431641000033110,deltacortril 5mg gastro-resistant tablets (phoenix labs ltd)
5990141000033115,prednisone 1mg modified-release tablets
5990241000033110,prednisone 2mg modified-release tablets
5990341000033117,prednisone 5mg modified-release tablets
5990641000033113,lodotra 1mg modified-release tablets (napp pharmaceuticals ltd)
5990741000033116,lodotra 2mg modified-release tablets (napp pharmaceuticals ltd)
5990841000033114,lodotra 5mg modified-release tablets (napp pharmaceuticals ltd)
8494441000033110,dilacort 2.5mg gastro-resistant tablets (crescent pharma ltd)
8494541000033111,dilacort 5mg gastro-resistant tablets (crescent pharma ltd)
9119141000033118,prednisolone 15mg/5ml oral solution
