CTV3Codes,Description
x00yP,Oral prednisolone
fe6h.,Prednisolone 2.5mg e/c tablet
fe65.,Deltacortril Enteric 2.5mg e/c tablet
fe6i.,Prednisolone 5mg e/c tablet
fe66.,Deltacortril Enteric 5mg e/c tablet
fe61.,Prednisolone 1mg tablet
fe67.,Deltalone 1mg tablet
fe69.,Deltastab 1mg tablet
fe6c.,Precortisyl 1mg tablet
fe6v.,Prednisolone 2.5mg tablet
fe62.,Prednisolone 5mg tablet
fe68.,Deltalone 5mg tablet
fe64.,Delta-Phoricol 5mg tablet
fe6a.,Deltastab 5mg tablet
fe6d.,Precortisyl 5mg tablet
fe6g.,Sintisone 5mg tablet
fe6z.,Prednisolone 25mg tablet
fe6e.,Precortisyl Forte 25mg tablet
fe6k.,Prednisolone 50mg tablet
fe6j.,Prednisolone 5mg soluble tablet
fe6f.,Prednesol 5mg tablet
fe6..,Prednisolone [endocrine use]
fe6l.,DILACORT 5mg gastro-resistant tablets
fe6m.,DILACORT 2.5mg gastro-resistant tablets
fe6n.,PEVANTI 2.5mg tablets
fe6o.,PEVANTI 25mg tablets
fe6p.,PEVANTI 5mg tablets
fe6q.,PEVANTI 10mg tablets
fe6r.,PEVANTI 20mg tablets
fe6s.,PREDNISOLONE 20mg tablets
fe6t.,PREDNISOLONE 10mg tablets
fe9..,Deflazacort
fe95.,Deflazacort 1mg tablet
fe96.,Calcort 1mg tablet
fe91.,Deflazacort 6mg tablet
fe92.,Calcort 6mg tablet
fe93.,Deflazacort 30mg tablet
fe94.,Calcort 30mg tablet
x02M4,Methylprednisolone
x01Nb,Oral methylprednisolone
fe5n.,Methylprednisolone 2mg tablet
fe51.,Medrone 2mg tablet
fe5o.,Methylprednisolone 4mg tablet
fe52.,Medrone 4mg tablet
fe5p.,Methylprednisolone 16mg tablet
fe53.,Medrone 16mg tablet
fe5m.,Methylprednisolone 100mg tablet
fe5f.,Medrone 100mg tablet
x01Nq,Oral triamcinolone
fe81.,Triamcinolone 2mg tablet
fe86.,Ledercort 2mg tablet
fe82.,Triamcinolone 4mg tablet
fe87.,Ledercort 4mg tablet
lb4y.,Triamcinolone acetonide 0.1% oral paste
x027B,Adcortyl in Orabase oral paste
lb41.,Adcortyl in orabase 0.1% oral paste 10g
lb43.,Adcortyl in orabase 0.1% oral paste 5g
x02Mk,Budesonide
x03ai,Oral budesonide
aa9z.,Budesonide 3mg capsule
aa93.,Budenofalk 3mg capsule
aa91.,Budesonide 3mg m/r capsule
aa92.,Entocort CR 3mg m/r capsule
aa9..,Budesonide [gastro-intestinal]
aa94.,BUDENOFALK 9mg/sachet gastro-resistant granules
aa95.,BUDESONIDE 9mg/sachet gastro-resistant granules
aa96.,CORTIMENT 9mg m/r tablets
aa97.,BUDESONIDE 9mg m/r tablets
fe4..,HC - Hydrocortisone
x01Na,Oral hydrocortisone
fe41.,Hydrocortisone 10mg tablet
fe44.,Hydrocortone 10mg tablet
fe42.,Hydrocortisone 20mg tablet
fe43.,Hydrocortistab 20mg tablet
fe45.,Hydrocortone 20mg tablet
fe1..,Betamethasone
x01MW,Oral betamethasone
fe1y.,Betamethasone 500micrograms tablet
fe11.,Betnelan 500mcg tablet
fe1x.,Betamethasone 500micrograms soluble tablet
fe12.,Betnesol 500mcg soluble tablet
x02M3,Dexamethasone
x01Mh,Oral dexamethasone
fe31.,Dexamethasone 500micrograms tablet
fe33.,Decadron 500micrograms tablet
fe36.,Oradexon 500micrograms tablet
fe32.,Dexamethasone 2mg tablet
fe37.,Oradexon 2mg tablet
fe3r.,Dexamethasone 500micrograms/5mL oral solution
fe3u.,Dexamethasone 2mg/5mL liquid
fe3s.,Dexamethasone 2mg/5mL s/f oral solution
fe3A.,Dexsol 2mg/5mL oral solution
fb1..,Fludrocortisone acetate
fb1z.,Fludrocortisone acetate 100micrograms tablet
fb11.,Florinef 100mcg tablet
x02M5,Prednisolone
