SNOMEDCTCodes,Description
39091311000001103,Betamethasone 500microgram soluble tablets sugar free - Roma Pharmaceuticals Ltd
22203611000001106,Betamethasone 500microgram soluble tablets sugar free - Phoenix Healthcare Distribution Ltd
21232511000001108,Betamethasone 500microgram soluble tablets sugar free - Alliance Healthcare (Distribution) Ltd
37108411000001101,Betamethasone 500microgram soluble tablets sugar free - DE Pharmaceuticals
21229111000001106,Betamethasone 500microgram soluble tablets sugar free - A A H Pharmaceuticals Ltd
38808011000001106,Betamethasone 500microgram soluble tablets sugar free - Medihealth (Northern) Ltd
21142211000001109,Betamethasone 500microgram soluble tablets sugar free - RPH Pharmaceuticals AB
3804311000001103,Betnelan 500microgram tablets - Focus Pharmaceuticals Ltd
3694811000001103,Betnesol 500microgram soluble tablets - Focus Pharmaceuticals Ltd
19280911000001102,Betnesol 500microgram soluble tablets - Waymade Healthcare Plc
8748411000001109,Cortisone 5mg capsules - Special Order
15403511000001105,Fludrocortisone 30microgram capsules - Special Order
15427611000001107,Hydrocortisone 2mg capsules - Special Order
8748011000001100,Fludrocortisone 50microgram capsules - Special Order
15524111000001100,Hydrocortisone 2.5mg capsules - Special Order
35570611000001100,Fludrocortisone 150microgram capsules - Special Order
20428711000001106,Hydrocortisone 1mg capsules - Special Order
35697611000001104,Alkindi 5mg granules in capsules for opening - Diurnal Ltd
35699311000001104,Alkindi 0.5mg granules in capsules for opening - Diurnal Ltd
35700011000001101,Alkindi 1mg granules in capsules for opening - Diurnal Ltd
35700311000001103,Alkindi 2mg granules in capsules for opening - Diurnal Ltd
20093711000001103,Cortisone 25mg tablets - Special Order
3669611000001101,Cortisone 25mg tablets - A A H Pharmaceuticals Ltd
3670511000001103,Cortisone 25mg tablets - Alliance Healthcare (Distribution) Ltd
11556011000001106,Cortisone 25mg tablets - Sanofi
32502211000001108,Fludrocortisone 100microgram tablets - A A H Pharmaceuticals Ltd
36892511000001109,Fludrocortisone 50microgram tablets - Special Order
18580411000001102,Hydrocortisone 10mg tablets - DE Pharmaceuticals
16504111000001108,Hydrocortisone 10mg tablets - Mawdsley-Brooks & Company Ltd
37494211000001109,Hydrocortisone 10mg tablets - NorthStar Healthcare Unlimited Company
17974111000001109,Hydrocortisone 20mg tablets - Almus Pharmaceuticals Ltd
38946311000001105,Hydrocortisone 20mg tablets - Medihealth (Northern) Ltd
29837011000001103,Hydrocortisone 20mg tablets - Sovereign Medical Ltd
38790211000001104,Fludrocortisone 100microgram tablets - Aspen Pharma Trading Ltd
32203511000001106,Fludrocortisone 100microgram tablets - Mylan
37710711000001100,Fludrocortisone 100microgram tablets - CST Pharma Ltd
17973911000001105,Hydrocortisone 10mg tablets - Almus Pharmaceuticals Ltd
24154111000001101,Hydrocortisone 10mg tablets - DE Pharmaceuticals
35108911000001105,Hydrocortisone 10mg tablets - Flynn Pharma Ltd
37126311000001101,Hydrocortisone 10mg tablets - Mawdsley-Brooks & Company Ltd
17930211000001109,Hydrocortisone 10mg tablets - Phoenix Healthcare Distribution Ltd
38063711000001102,Hydrocortisone 20mg tablets - NorthStar Healthcare Unlimited Company
36508611000001108,Hydrocortisone 20mg tablets - Resolution Chemicals Ltd
18394311000001100,Hydrocortisone 20mg tablets - Teva UK Ltd
13614311000001105,Hydrocortisone 10mg tablets - A A H Pharmaceuticals Ltd
15092911000001100,Hydrocortisone 20mg tablets - Sigma Pharmaceuticals Plc
35109111000001100,Hydrocortisone 20mg tablets - Flynn Pharma Ltd
22044611000001109,Hydrocortisone 20mg tablets - Waymade Healthcare Plc
36508411000001105,Hydrocortisone 10mg tablets - Resolution Chemicals Ltd
17559811000001109,Hydrocortisone 10mg tablets - Sigma Pharmaceuticals Plc
39929711000001100,Hydrocortisone 2.5mg tablets - Genesis Pharmaceuticals Ltd
39930211000001103,Hydrocortisone 5mg tablets - Genesis Pharmaceuticals Ltd
13614511000001104,Hydrocortisone 20mg tablets - A A H Pharmaceuticals Ltd
34702511000001102,Hydrocortisone 20mg tablets - Advanz Pharma
34616411000001107,Hydrocortisone 20mg tablets - Bristol Laboratories Ltd
24154311000001104,Hydrocortisone 20mg tablets - DE Pharmaceuticals
32407611000001101,Hydrocortisone 20mg tablets - Kent Pharma (UK) Ltd
34957811000001100,Hydrocortisone 10mg tablets - Genesis Pharmaceuticals Ltd
32419211000001107,Fludrocortisone 100microgram tablets - Alliance Healthcare (Distribution) Ltd
38134211000001106,Fludrocortisone 100microgram tablets - DE Pharmaceuticals
38916611000001107,Fludrocortisone 100microgram tablets - Medihealth (Northern) Ltd
13661711000001105,Hydrocortisone 10mg tablets - Accord Healthcare Ltd
33423211000001105,Hydrocortisone 10mg tablets - Advanz Pharma
32711611000001102,Hydrocortisone 10mg tablets - Alissa Healthcare Research Ltd
13806811000001104,Hydrocortisone 10mg tablets - Alliance Healthcare (Distribution) Ltd
34616211000001108,Hydrocortisone 10mg tablets - Bristol Laboratories Ltd
38070711000001101,Hydrocortisone 10mg tablets - Mibe Pharma UK Ltd
15092711000001102,Hydrocortisone 10mg tablets - Sigma Pharmaceuticals Plc
18392311000001107,Hydrocortisone 10mg tablets - Teva UK Ltd
39930511000001100,Hydrocortisone 15mg tablets - Genesis Pharmaceuticals Ltd
34958011000001107,Hydrocortisone 20mg tablets - Genesis Pharmaceuticals Ltd
37089411000001100,Hydrocortisone 20mg tablets - Mawdsley-Brooks & Company Ltd
17930411000001108,Hydrocortisone 20mg tablets - Phoenix Healthcare Distribution Ltd
37492011000001105,Hydrocortisone 10mg soluble tablets sugar free - Alliance Healthcare (Distribution) Ltd
38970611000001101,Hydrocortisone 10mg soluble tablets sugar free - A A H Pharmaceuticals Ltd'
36586911000001100,Hydrocortisone 10mg soluble tablets sugar free - Creo Pharma Ltd
