V2Codes,Description
fe1..,BETAMETHASONE
fe11.,BETNELAN 500micrograms tablets
fe12.,*BETNESOL 500micrograms tabs
fe1x.,BETAMETHASONE 500micrograms soluble tablets
fe1y.,BETAMETHASONE 500microgram tablets
fe2..,CORTISONE ACETATE
fe21.,*CORTISONE 5mg tablets
fe22.,*CORTISONE 25mg tablets
fe23.,*CORTELAN 25mg tablets
fe24.,*CORTISTAB 5mg tablets
fe25.,*CORTISTAB 25mg tablets
fe26.,*CORTISYL 25mg tablets
fe3..,DEXAMETHASONE [ENDOCRINE]
fe31.,DEXAMETHASONE 500micrograms tablets
fe32.,DEXAMETHASONE 2mg tablets
fe33.,DECADRON 500micrograms tablets
fe36.,*ORADEXON 500microgram tablets
fe37.,*ORADEXON 2mg tablets
fe3A.,DEXSOL 2mg/5mL oral solution
fe3B.,DEXAMETHASONE 10mg/5mL oral solution
fe3C.,MARTAPAN 2mg/5mL oral solution
fe3r.,DEXAMETHASONE 500micrograms/5mL solution
fe3s.,DEXAMETHASONE 2mg/5mL sugar free solution
fe3u.,DEXAMETHASONE 2mg/5mL liquid
fe4..,HYDROCORTISONE
fe41.,HYDROCORTISONE 10mg tablets
fe42.,HYDROCORTISONE 20mg tablets
fe43.,*HYDROCORTISTAB 20mg tablets
fe44.,*HYDROCORTONE 10mg tablets
fe45.,*HYDROCORTONE 20mg tablets
fe4e.,PLENADREN 5mg m/r tablets
fe4f.,HYDROCORTISONE 5mg m/r tablets
fe4g.,PLENADREN 20mg m/r tablets
fe4h.,HYDROCORTISONE 20mg m/r tablets
fe5..,METHYLPREDNISOLONE [ENDOCRINE]
fe51.,MEDRONE 2mg tablets
fe52.,MEDRONE 4mg tablets
fe53.,MEDRONE 16mg tablets
fe5f.,MEDRONE 100mg tablets
fe5m.,METHYLPREDNISOLONE 100mg tablets
fe5n.,METHYLPREDNISOLONE 2mg tablets
fe5o.,METHYLPREDNISOLONE 4mg tablets
fe5p.,METHYLPREDNISOLONE 16mg tablets
fe6..,PREDNISOLONE [ENDOCRINE]
fe61.,PREDNISOLONE 1mg tablets
fe62.,PREDNISOLONE 5mg tablets
fe64.,*DELTA-PHORICOL 5mg tablets
fe65.,DELTACORTRIL ENTERIC 2.5mg tablets
fe66.,DELTACORTRIL ENTERIC 5mg tablets
fe67.,*DELTALONE 1mg tablets
fe68.,*DELTALONE 5mg tablets
fe69.,*DELTASTAB 1mg tablets
fe6a.,*DELTASTAB 5mg tablets
fe6c.,*PRECORTISYL 1mg tablets
fe6d.,*PRECORTISYL 5mg tablets
fe6e.,PRECORTISYL FORTE 25mg tablets
fe6f.,*PREDNESOL 5mg tablets
fe6g.,*SINTISONE 5mg tablets
fe6h.,PREDNISOLONE 2.5mg e/c tablets
fe6i.,PREDNISOLONE 5mg e/c tablets
fe6j.,PREDNISOLONE 5mg soluble tablets
fe6k.,PREDNISOLONE 50mg tablets
fe6l.,DILACORT 5mg gastro-resistant tablets
fe6m.,DILACORT 2.5mg gastro-resistant tablets
fe6n.,PEVANTI 2.5mg tablets
fe6o.,PEVANTI 25mg tablets
fe6p.,PEVANTI 5mg tablets
fe6q.,PEVANTI 10mg tablets
fe6r.,PEVANTI 20mg tablets
fe6s.,PREDNISOLONE 20mg tablets
fe6t.,PREDNISOLONE 10mg tablets
fe6v.,PREDNISOLONE 2.5mg tablets
fe6w.,*PREDNISOLONE 2.5mg tablets
fe6z.,PREDNISOLONE 25mg tablets
fe7..,PREDNISONE
fe71.,*PREDNISONE 1mg tablets
fe72.,*PREDNISONE 5mg tablets
fe73.,*DECORTISYL 5mg tablets
fe74.,*ECONOSONE 1mg tablets
fe75.,*ECONOSONE 5mg tablets
fe77.,LODOTRA 2mg m/r tablets
fe78.,LODOTRA 5mg m/r tablets
fe79.,LODOTRA 1mg m/r tablets
fe7x.,PREDNISONE 5mg m/r tablets
fe7y.,PREDNISONE 2mg m/r tablets
fe7z.,PREDNISONE 1mg m/r tablets
fe9..,DEFLAZACORT
fe91.,DEFLAZACORT 6mg tablets
fe92.,CALCORT 6mg tablets
fe93.,*DEFLAZACORT 30mg tablets
fe94.,*CALCORT 30mg tablets
fe95.,*DEFLAZACORT 1mg tablets
fe96.,*CALCORT 1mg tablets
aa9..,BUDESONIDE [GASTRO-INTESTINAL USE]
aa91.,BUDESONIDE 3mg m/r capsules
aa92.,ENTOCORT CR 3mg m/r capsules
aa93.,BUDENOFALK 3mg capsules
aa94.,BUDENOFALK 9mg/sachet gastro-resistant granules
aa95.,BUDESONIDE 9mg/sachet gastro-resistant granules
aa9z.,BUDESONIDE 3mg capsules
aaB..,BECLOMETASONE [GASTRO-INTESTINAL USE]
aaB1.,CLIPPER 5mg e/c m/r tablets
aaBz.,BECLOMETASONE DIPROPIONATE 5mg e/c m/r tablets
aa4..,PREDNISOLONE [for preparations see rectal prednisolone]
