ProdCodeId,Description
1020041000033115,otosporin ear drops (phoenix labs ltd)
1021141000033111,otomize ear spray (teva uk ltd)
10212141000033111,prednisolone 10mg tablets
10212341000033114,prednisolone 20mg tablets
10212441000033115,pevanti 2.5mg tablets (advanz pharma)
10212541000033119,pevanti 5mg tablets (advanz pharma)
10212641000033118,pevanti 10mg tablets (advanz pharma)
10212741000033110,pevanti 20mg tablets (advanz pharma)
10212941000033113,pevanti 25mg tablets (advanz pharma)
10213841000033110,dexamethasone 20mg/5ml oral solution sugar free
10262941000033112,budesonide 9mg modified-release tablets
10263141000033115,cortiment 9mg modified-release tablets (ferring pharmaceuticals ltd)
10266841000033117,prednisolone 5mg/5ml oral solution unit dose
10494341000033117,prednisolone 10mg/ml oral solution sugar free
10495941000033117,dovobet gel applicator (leo pharma)
1062641000033118,perinal spray (dermal laboratories ltd)
10643941000033111,ciprofloxacin 0.3% / dexamethasone 0.1% ear drops
10644441000033116,cilodex ear drops (consilient health ltd)
10645541000033116,xemacort 20mg/g / 1mg/g cream (mylan)
10988941000033111,prednisolone dompe oral solution 5 mg/5 ml unit dose
11072141000033115,dexamethasone 2mg soluble tablets sugar free
11072241000033110,dexamethasone 4mg soluble tablets sugar free
11072341000033117,dexamethasone 8mg soluble tablets sugar free
1113741000033112,predsol 0.5% ear/eye drops (rph pharmaceuticals ab)
1113841000033119,predsol-n ear/eye drops (focus pharmaceuticals ltd)
1113941000033110,prednisolone sodium phosphate 0.5% ear/eye drops
1114241000033116,prednisolone 2.5mg gastro-resistant tablets
1114341000033114,prednisolone 5mg gastro-resistant tablets
1114541000033119,pred forte 1% eye drops (allergan ltd)
1114641000033118,prednisolone sodium phosphate 0.01% eye drops
1114741000033110,prednisolone sodium phosphate 0.1% eye drops preservative free
1114841000033117,prednisolone sodium phosphate 0.3% eye drops preservative free
1114941000033113,prednisolone sodium phosphate 0.03% eye drops preservative free
1115041000033113,prednisolone sodium phosphate eye drops 0.5 %
1115441000033116,prednisolone eye drops 1 %
1115541000033115,proctofoam hc foam enema (meda pharmaceuticals ltd)
1115641000033119,predfoam 20mg/application enema (chemidex pharma ltd)
1115741000033111,prednisolone 20mg/application foam enema
1119141000033110,prednisolone injection 16 mg/ml
1119241000033115,prednisolone 25mg/1ml suspension for injection ampoules
1119341000033113,prednisolone sodium phosphate injection 16 mg/1 ml
1124641000033110,proctosedyl ointment (sanofi)
1126741000033110,prednisolone 20mg/100ml rectal solution
1126841000033117,predsol 20mg/100ml retention enema (rph pharmaceuticals ab)
1126941000033113,predenema 20mg/100ml long tube (forest laboratories uk ltd)
1127041000033114,prednisolone 20mg/100ml enema long tube
1127141000033113,predenema 20mg/100ml standard tube (forest laboratories uk ltd)
1127341000033111,prednisolone 5mg soluble tablets
1128341000033110,prednisolone suppositories 5 mg
1128841000033118,proctosedyl suppositories (sanofi)
1129341000033115,predsol 5mg suppositories (focus pharmaceuticals ltd)
1130741000033110,prednisolone 25mg tablets
1130841000033117,prednisolone steaglate tablets 6.65 mg
1131741000033117,prednisolone 1mg tablets
1131841000033110,prednisolone 2.5mg tablets
1131941000033119,prednisolone 5mg tablets
1143041000033117,pulmicort 200micrograms/dose inhaler (astrazeneca uk ltd)
1143141000033118,pulmicort ls 50micrograms/dose inhaler (astrazeneca uk ltd)
1144441000033111,pulmicort 0.5mg respules (astrazeneca uk ltd)
1144541000033112,pulmicort 1mg respules (astrazeneca uk ltd)
1145141000033119,pulmicort 200 turbohaler (astrazeneca uk ltd)
1145241000033114,pulmicort 400 turbohaler (astrazeneca uk ltd)
1145341000033116,pulmicort 100 turbohaler (astrazeneca uk ltd)
1147841000033117,quinocort cream (ecolab healthcare division)
1147941000033113,quinoderm with hydrocortisone cream
11500441000033119,calcipotriol 50micrograms/g / betamethasone dipropionate 500micrograms/g foam
11501141000033115,enstilar 50micrograms/g / 0.5 mg/g cutaneous foam (leo pharma)
11507841000033115,prednisolone 1mg gastro-resistant tablets
11661941000033110,betamethasone valerate 0.1% ointment 25% in coal tar paste
11664841000033116,prednisolone 30mg tablets
1168741000033118,rhinocort aqua 100micrograms/dose nasal spray (astrazeneca uk ltd)
11707241000033115,budesonide 200micrograms/dose / formoterol 6micrograms/dose inhaler cfc free
11707341000033113,symbicort 200micrograms/dose / 6micrograms/dose pressurised inhaler (astrazeneca uk ltd)
11753841000033117,"nystatin 100,000units/g / chlorhexidine hydrochloride 1% / hydrocortisone 0.5% cream"
11802441000033119,"nystatin 100,000units/g / chlorhexidine acetate 1% / hydrocortisone 1% ointment"
121941000033117,betamethasone valerate aerosol inhalation 100 micrograms/metered inhalation
12389541000033113,glensoludex 2mg soluble tablets (glenmark pharmaceuticals europe ltd)
12389641000033114,glensoludex 4mg soluble tablets (glenmark pharmaceuticals europe ltd)
12389741000033117,glensoludex 8mg soluble tablets (glenmark pharmaceuticals europe ltd)
12398241000033119,dexamethasone 40mg tablets
12398341000033112,neofordex 40mg tablets (aspire pharma ltd)
12403741000033110,fobumix easyhaler 320micrograms/dose / 9micrograms/dose dry powder inhaler (orion pharma (uk) ltd)
12430741000033111,fobumix easyhaler 160micrograms/dose / 4.5micrograms/dose dry powder inhaler (orion pharma (uk) ltd)
