MedCodeID,Description
14536901000006110,Migration of percutaneous endoscopic gastrostomy tube
4940161000006119,PEG - Percutaneous endoscopic gastrostomy feeding
338672013,Percutaneous endoscopic gastrostomy feeding
5076051000006115,Percutaneous endoscopic gastrostomy
5076061000006118,PEG - Percutaneous endoscopic gastrostomy
1760671000006110,Percutaneous placement of gastrostomy tube
5969921000006116,Endoscopic removal of percutaneous gastrostomy
5969931000006118,PEG - Endoscopic removal of percutaneous gastrostomy
456041012,Temporary percutaneous endoscopic gastrostomy
456042017,Permanent percutaneous endoscopic gastrostomy
6838691000006116,Percutaneous endoscopic gastrostomy tube internally removable
6838681000006119,PEG internally removable
7008801000006117,Percutaneous endoscopic gastrostomy tube care
2645633010,Maintenance of percutaneous endoscopic gastrostomy tube
7176761000006112,Percutaneous endoscopic insertion of gastrostomy tube using fluoroscopic guidance
7273351000006118,Blockage of percutaneous endoscopic gastrostomy tube
7273341000006115,Obstruction of percutaneous endoscopic gastrostomy tube
8271331000006116,Detachment of PEG (percutaneous endoscopic gastrostomy) tube
8271341000006114,Dislodged PEG (percutaneous endoscopic gastrostomy) tube
8271351000006111,Detached PEG (percutaneous endoscopic gastrostomy) tube
8271321000006119,Detachment of percutaneous endoscopic gastrostomy tube
1544631000006111,Fiberoptic endoscopic percutaneous insertion of gastrostomy
2676194017,Fibreoptic endoscopic percutaneous insertion of gastrostomy
