SNOMEDCTCodes,Description
29952004,Percutaneous placement of gastrostomy tube (procedure)
235159007,Percutaneous endoscopic insertion of gastrostomy tube (procedure)
433243001,Percutaneous endoscopic insertion of gastrostomy tube using fluoroscopic guidance (procedure)
312341002,Permanent percutaneous endoscopic gastrostomy (procedure)
312340001,Temporary percutaneous endoscopic gastrostomy (procedure)
225373002,Percutaneous endoscopic gastrostomy feeding (regime/therapy)
423508006,Maintenance of percutaneous endoscopic gastrostomy tube (procedure)
307570007,Endoscopic removal of percutaneous gastrostomy (procedure)
443181001,Obstruction of percutaneous endoscopic gastrostomy tube (finding)
1162760000,Migration of percutaneous endoscopic gastrostomy tube (disorder)
824021000000107,Detachment of percutaneous endoscopic gastrostomy tube (disorder)
413236001,Percutaneous endoscopic gastrostomy tube internally removable (finding)
