SNOMEDCTCodes,Description
36451211000001102,Brompheniramine 12mg capsules (Special Order)
36451311000001105,Brompheniramine 12mg capsules (Special Order) 1 capsule
15811000001101,Dimotane 2mg/5ml elixir (Mercury Pharma Group Ltd)
2006511000001108,Dimotane 2mg/5ml elixir (Mercury Pharma Group Ltd) 200 ml
53011000001104,Dimotane Plus oral solution (Mercury Pharma Group Ltd)
2451811000001103,Dimotane Plus oral solution (Mercury Pharma Group Ltd) 200 ml
22171311000001107,Dimegan 12mg modified-release capsules (Imported (France))
22171411000001100,Dimegan 12mg modified-release capsules (Imported (France)) 10 capsule
17531511000001109,Disophrol modified-release tablets (Imported (United States))
17531611000001108,Disophrol modified-release tablets (Imported (United States)) 16 tablet
107111000001105,Dimotane Plus Paediatric elixir (Mercury Pharma Group Ltd)
2430111000001100,Dimotane Plus Paediatric elixir (Mercury Pharma Group Ltd) 200 ml
36458311000001103,Brompheniramine 12mg capsules
36451111000001108,Brompheniramine 12mg capsules 1 capsule
35911911000001102,Brompheniramine 2mg/5ml oral solution
320695005,Brompheniramine 2mg/5ml oral solution
981211000001108,Brompheniramine 2mg/5ml oral solution 200 ml
22192111000001109,Brompheniramine 12mg modified-release capsules
22171211000001104,Brompheniramine 12mg modified-release capsules 10 capsule
36095111000001106,Dexbrompheniramine 6mg / Pseudoephedrine sulfate 120mg modified-release tablets
416440003,Dexbrompheniramine 6mg / Pseudoephedrine sulfate 120mg modified-release tablets
17531411000001105,Dexbrompheniramine 6mg / Pseudoephedrine sulfate 120mg modified-release tablets 16 tablet
3462111000001103,Pseudoephedrine 30mg/5ml / Brompheniramine 4mg/5ml oral solution sugar free
1139411000001103,Pseudoephedrine 30mg/5ml / Brompheniramine 4mg/5ml oral solution sugar free 200 ml
3462011000001104,Pseudoephedrine 15mg/5ml / Brompheniramine 2mg/5ml oral solution sugar free
1133611000001102,Pseudoephedrine 15mg/5ml / Brompheniramine 2mg/5ml oral solution sugar free 200 ml
