CTV3Codes,Description
c63..,Betamethasone valerate
m471.,Propaderm 0.025% cream 15g
m472.,Propaderm 0.025% cream 50g
m473.,Propaderm 0.025% ointment 15g
m474.,Propaderm 0.025% ointment 50g
m479.,Propaderm 0.025% cream 30g
m47a.,Propaderm 0.025% ointment 30g
m47y.,Beclometasone dipropionate 0.025% cream
m47z.,Beclometasone dipropionate 0.025% ointment
m481.,Betnovate 0.1% cream 15g
m482.,Betnovate 0.1% cream 30g
m483.,Betnovate 0.1% cream 100g
m484.,Betnovate 0.1% ointment 15g
m485.,Betnovate 0.1% ointment 30g
m486.,Betnovate 0.1% ointment 100g
m487.,Betnovate 0.1% lotion 100mL
m488.,Betnovate 0.1% scalp application 30mL
m489.,Betnovate 0.1% scalp application 100mL
m48a.,Betnovate RD 0.025% cream 100g
m48B.,Betamethasone valerate 0.12% foam
m48C.,Bettamousse 0.12% foam 100g
m48D.,BETESIL 2.25mg medicated plasters
m48E.,BETAMETHASONE VALERATE 2.25mg medicated plasters
m48f.,Diprosalic 0.05% scalp application 100mL
m48g.,Diprosone 0.05% cream 30g
m48h.,Diprosone 0.05% cream 100g
m48i.,Diprosone 0.05% ointment 30g
m48j.,Diprosone 0.05% ointment 100g
m48k.,Diprosone 0.05% lotion 30mL
m48l.,Diprosone 0.05% lotion 100mL
m48m.,Betamethasone 0.025% cream
m48n.,Betamethasone 0.025% ointment
m48o.,Betamethasone 0.1% scalp application
m48p.,Betnovate 0.1% cream pump dispenser 100g
m48q.,Betamethasone 0.1% cream
m48r.,Betamethasone 0.1% ointment
m48s.,Betamethasone 0.1% lotion
m48t.,Betnovate 0.1% ointment pump dispenser 100g
m48u.,Betamethasone+salicylic acid 0.05/3% ointment
m48v.,Betamethasone+salicylic acid 0.05/3% scalp application
m48w.,Betamethasone 0.05% cream
m48x.,Betamethasone 0.05% ointment
m48y.,Betamethasone 0.05% lotion
m4e1.,Nerisone 0.1% cream 30g
m4e2.,Nerisone 0.1% oily cream 30g
m4e3.,Nerisone 0.1% ointment 30g
m4e6.,Temetex 0.1% cream
m4e7.,Temetex 0.1% fatty ointment
m4e8.,Temetex 0.1% ointment
m4eu.,Diflucortolone valerate 0.1% cream
m4ev.,Diflucortolone valerate 0.1% oily cream
m4ew.,Diflucortolone valerate 0.1% ointment
m4ez.,Diflucortolone val 0.1% fatty ointment
m4g1.,Synalar 0.025% cream 15g
m4g2.,Synalar 0.025% cream 30g
m4g3.,Synalar 0.025% cream 50g
m4g4.,Synalar 0.025% gel 30g
m4g5.,Synalar 0.025% ointment 15g
m4g6.,Synalar 0.025% ointment 30g
m4g7.,Synalar 0.025% ointment 50g
m4gj.,SYNALAR 0.025% gel 60g
m4gt.,Fluocinolone acetonide 0.025% gel
m4gu.,Fluocinolone acetonide 0.025% ointment
m4gz.,Fluocinolone acetonide 0.025% cream
m4h1.,Metosyn 0.05% cream 25g
m4h2.,Metosyn 0.05% cream 100g
m4h3.,Metosyn 0.05% ointment 25g
m4h4.,Metosyn 0.05% ointment 100g
m4h5.,Metosyn 0.05% scalp application 30mL
m4hx.,Fluocinonide 0.05% cream
m4hy.,Fluocinonide 0.05% ointment
m4hz.,Fluocinonide 0.05% scalp application
m4l1.,Locoid 0.1% cream 30g
m4l2.,Locoid 0.1% cream 100g
m4l3.,Locoid 0.1% lipocream 30g
m4l4.,Locoid 0.1% ointment 30g
m4l5.,Locoid 0.1% ointment 100g
m4l6.,Locoid 0.1% scalp lotion 30mL
m4l7.,Locoid 0.1% scalp lotion 100mL
m4la.,Locoid 0.1% lipocream 100g
m4lb.,Locoid Crelo 0.1% emulsion
