SNOMEDCTCodes,Description
18752511000001108,Beclometasone 0.025% cream - A A H Pharmaceuticals Ltd
18752611000001107,Beclometasone 0.025% cream 30 gram - A A H Pharmaceuticals Ltd
18436411000001103,Beclometasone 0.025% cream - Essential Generics Ltd
18436611000001100,Beclometasone 0.025% cream 30 gram - Essential Generics Ltd
18659111000001103,Beclometasone 0.025% cream - Alliance Healthcare (Distribution) Ltd
18659211000001109,Beclometasone 0.025% cream 30 gram - Alliance Healthcare (Distribution) Ltd
16047711000001109,Beclometasone 0.025% in Aqueous cream - Special Order
16047811000001101,Beclometasone 0.025% in Aqueous cream 1 gram - Special Order
692311000001106,Propaderm 0.025% cream - GlaxoSmithKline UK Ltd
1921711000001106,Propaderm 0.025% cream 30 gram - GlaxoSmithKline UK Ltd
331792000,Beclometasone 0.025% cream
1249911000001109,Beclometasone 0.025% cream 30 gram
16072611000001102,Beclometasone 0.025% in Aqueous cream
16047611000001100,Beclometasone 0.025% in Aqueous cream 1 gram
13575511000001102,Betamethasone valerate 0.1% cream - DE Pharmaceuticals
37107711000001106,Betamethasone valerate 0.1% cream 15 gram - DE Pharmaceuticals
13575611000001103,Betamethasone valerate 0.1% cream 30 gram - DE Pharmaceuticals
22620611000001107,Betamethasone valerate 0.1% cream 100 gram - DE Pharmaceuticals
33564711000001104,Betamethasone valerate 0.1% cream - Manx Healthcare Ltd
33565311000001104,Betamethasone valerate 0.1% cream 15 gram - Manx Healthcare Ltd
29999611000001104,Betamethasone valerate 0.1% cream - Mawdsley-Brooks & Company Ltd
29999711000001108,Betamethasone valerate 0.1% cream 30 gram - Mawdsley-Brooks & Company Ltd
30000211000001102,Betamethasone valerate 0.1% cream 100 gram - Mawdsley-Brooks & Company Ltd
10964111000001109,Betamethasone valerate 0.1% cream - Teva UK Ltd
10964311000001106,Betamethasone valerate 0.1% cream 30 gram - Teva UK Ltd
10964411000001104,Betamethasone valerate 0.1% cream 100 gram - Teva UK Ltd
13575711000001107,Betamethasone valerate 0.1% ointment - DE Pharmaceuticals
13575811000001104,Betamethasone valerate 0.1% ointment 30 gram - DE Pharmaceuticals
22620711000001103,Betamethasone valerate 0.1% ointment 100 gram - DE Pharmaceuticals
589311000001109,Betamethasone valerate 0.1% cream - A A H Pharmaceuticals Ltd
2176411000001108,Betamethasone valerate 0.1% cream 30 gram - A A H Pharmaceuticals Ltd
10986011000001101,Betamethasone valerate 0.1% cream 100 gram - A A H Pharmaceuticals Ltd
15515011000001105,Betamethasone valerate 0.1% cream - Actavis UK Ltd
15515111000001106,Betamethasone valerate 0.1% cream 30 gram - Actavis UK Ltd
15515311000001108,Betamethasone valerate 0.1% cream 100 gram - Actavis UK Ltd
13183111000001107,Betamethasone valerate 0.1% cream - Dowelhurst Ltd
13183211000001101,Betamethasone valerate 0.1% cream 30 gram - Dowelhurst Ltd
13183311000001109,Betamethasone valerate 0.1% cream 100 gram - Dowelhurst Ltd
318411000001105,Betamethasone valerate 0.1% cream - Kent Pharmaceuticals Ltd
2177111000001100,Betamethasone valerate 0.1% cream 30 gram - Kent Pharmaceuticals Ltd
2914111000001102,Betamethasone valerate 0.1% ointment - Alliance Healthcare (Distribution) Ltd
2914211000001108,Betamethasone valerate 0.1% ointment 30 gram - Alliance Healthcare (Distribution) Ltd
31067711000001102,Betamethasone valerate 0.1% ointment 100 gram - Alliance Healthcare (Distribution) Ltd
15053011000001100,Betamethasone valerate 0.1% cream - Sigma Pharmaceuticals Plc
15053111000001104,Betamethasone valerate 0.1% cream 30 gram - Sigma Pharmaceuticals Plc
15053311000001102,Betamethasone valerate 0.1% cream 100 gram - Sigma Pharmaceuticals Plc
2912811000001103,Betamethasone valerate 0.1% ointment - A A H Pharmaceuticals Ltd
2913011000001100,Betamethasone valerate 0.1% ointment 30 gram - A A H Pharmaceuticals Ltd
10986211000001106,Betamethasone valerate 0.1% ointment 100 gram - A A H Pharmaceuticals Ltd
2913511000001108,Betamethasone valerate 0.1% ointment - Kent Pharmaceuticals Ltd
2913811000001106,Betamethasone valerate 0.1% ointment 30 gram - Kent Pharmaceuticals Ltd
17799411000001104,Betamethasone valerate 0.1% cream - Phoenix Healthcare Distribution Ltd
17799711000001105,Betamethasone valerate 0.1% cream 30 gram - Phoenix Healthcare Distribution Ltd
17800011000001100,Betamethasone valerate 0.1% cream 100 gram - Phoenix Healthcare Distribution Ltd
21792711000001100,Betamethasone valerate 0.1% cream - Waymade Healthcare Plc
21793011000001106,Betamethasone valerate 0.1% cream 30 gram - Waymade Healthcare Plc
21793111000001107,Betamethasone valerate 0.1% cream 100 gram - Waymade Healthcare Plc
13183411000001102,Betamethasone valerate 0.1% ointment - Dowelhurst Ltd
13183511000001103,Betamethasone valerate 0.1% ointment 30 gram - Dowelhurst Ltd
13183611000001104,Betamethasone valerate 0.1% ointment 100 gram - Dowelhurst Ltd
30000311000001105,Betamethasone valerate 0.1% ointment - Mawdsley-Brooks & Company Ltd
30000411000001103,Betamethasone valerate 0.1% ointment 30 gram - Mawdsley-Brooks & Company Ltd
30000511000001104,Betamethasone valerate 0.1% ointment 100 gram - Mawdsley-Brooks & Company Ltd
17800311000001102,Betamethasone valerate 0.1% ointment - Phoenix Healthcare Distribution Ltd
17800511000001108,Betamethasone valerate 0.1% ointment 30 gram - Phoenix Healthcare Distribution Ltd
17800811000001106,Betamethasone valerate 0.1% ointment 100 gram - Phoenix Healthcare Distribution Ltd
79811000001109,Betamethasone valerate 0.1% cream - Alliance Healthcare (Distribution) Ltd
2177811000001107,Betamethasone valerate 0.1% cream 30 gram - Alliance Healthcare (Distribution) Ltd
16164911000001102,Betamethasone valerate 0.1% cream 100 gram - Alliance Healthcare (Distribution) Ltd
39324011000001105,Betamethasone valerate 0.1% cream - Medihealth (Northern) Ltd
39324111000001106,Betamethasone valerate 0.1% cream 100 gram - Medihealth (Northern) Ltd
15515411000001101,Betamethasone valerate 0.1% ointment - Actavis UK Ltd
15515511000001102,Betamethasone valerate 0.1% ointment 30 gram - Actavis UK Ltd
15515711000001107,Betamethasone valerate 0.1% ointment 100 gram - Actavis UK Ltd
39236511000001104,Betamethasone valerate 0.1% ointment - Medihealth (Northern) Ltd
39236811000001101,Betamethasone valerate 0.1% ointment 30 gram - Medihealth (Northern) Ltd
39298911000001102,Betamethasone valerate 0.1% ointment 100 gram - Medihealth (Northern) Ltd
15053611000001107,Betamethasone valerate 0.1% ointment - Sigma Pharmaceuticals Plc
15053811000001106,Betamethasone valerate 0.1% ointment 30 gram - Sigma Pharmaceuticals Plc
15053911000001101,Betamethasone valerate 0.1% ointment 100 gram - Sigma Pharmaceuticals Plc
10987211000001108,Betamethasone valerate 0.1% ointment - Teva UK Ltd
10987311000001100,Betamethasone valerate 0.1% ointment 30 gram - Teva UK Ltd
10987411000001107,Betamethasone valerate 0.1% ointment 100 gram - Teva UK Ltd
21793511000001103,Betamethasone valerate 0.1% ointment - Waymade Healthcare Plc
21793611000001104,Betamethasone valerate 0.1% ointment 30 gram - Waymade Healthcare Plc
21794011000001108,Betamethasone valerate 0.1% ointment 100 gram - Waymade Healthcare Plc
374372000,Betamethasone valerate 0.1% cream
331824000,Betamethasone valerate 0.1% cream
33565211000001107,Betamethasone valerate 0.1% cream 15 gram
1084011000001108,Betamethasone valerate 0.1% cream 30 gram
947511000001105,Betamethasone valerate 0.1% cream 100 gram
396279000,Betamethasone valerate 0.1% ointment
331825004,Betamethasone valerate 0.1% ointment
2912511000001101,Betamethasone valerate 0.1% ointment 30 gram
2912611000001102,Betamethasone valerate 0.1% ointment 100 gram
35634611000001104,Audavate 0.1% cream - Accord Healthcare Ltd
35634711000001108,Audavate 0.1% cream 30 gram - Accord Healthcare Ltd
35634811000001100,Audavate 0.1% cream 100 gram - Accord Healthcare Ltd
38119911000001108,Betnovate 0.1% cream - DE Pharmaceuticals
38120011000001105,Betnovate 0.1% cream 30 gram - DE Pharmaceuticals
38120111000001106,Betnovate 0.1% cream 100 gram - DE Pharmaceuticals
22521611000001107,Audavate 0.1% ointment - Accord Healthcare Ltd
22521711000001103,Audavate 0.1% ointment 30 gram - Accord Healthcare Ltd
22522111000001109,Audavate 0.1% ointment 100 gram - Accord Healthcare Ltd
5619411000001105,Betnovate 0.1% ointment - Dowelhurst Ltd
5619611000001108,Betnovate 0.1% ointment 100 gram - Dowelhurst Ltd
17495611000001109,Betnovate 0.1% ointment - Mawdsley-Brooks & Company Ltd
17495711000001100,Betnovate 0.1% ointment 30 gram - Mawdsley-Brooks & Company Ltd
17495811000001108,Betnovate 0.1% ointment 100 gram - Mawdsley-Brooks & Company Ltd
2913211000001105,Betnovate 0.1% ointment - GlaxoSmithKline UK Ltd
2913311000001102,Betnovate 0.1% ointment 30 gram - GlaxoSmithKline UK Ltd
2913411000001109,Betnovate 0.1% ointment 100 gram - GlaxoSmithKline UK Ltd
