V2Codes,Description
dhg..,PROMETHAZINE THEOCLATE
dhg1.,AVOMINE 25mg tablets
dhg2.,VERTIGON 25mg tablets
dhgz.,PROMETHAZINE THEOCLATE 25mg tablets
c8iv.,PROMETHAZINE 10mg tablets
c8iu.,PROMETHAZINE 20mg tablets
c8iw.,PROMETHAZINE 25mg tablets
c8ix.,PROMETHAZINE 5mg/5mL elixir
c8iz.,PROMETHAZINE 50mg/2mL injection
c8iy.,PROMETHAZINE 25mg/1mL injection
c8i..,PROMETHAZINE HYDROCHLORIDE [ANTIHISTAMINE]
c8i1.,PHENERGAN 10mg tablets
c8i2.,PHENERGAN 25mg tablets
c8i3.,PHENERGAN 5mg/5mL elixir
c8i4.,PHENERGAN 25mg/1mL injection
c8i5.,*PHENERGAN 50mg/2mL injection
c8i6.,PHENERGAN NIGHTIME 25mg tablets
c8i8.,ZIZ FORTE 25mg tablets
c8i9.,SOMINEX 20mg tablets
dhe..,PROCHLORPERAZINE [NAUSEA]
dhe1.,STEMETIL 5mg tablets
dhe2.,*STEMETIL 25mg tablets
dhe3.,STEMETIL 5mg/5mL syrup
dhe4.,STEMETIL 12.5mg/1mL injection
dhe5.,*STEMETIL 25mg/2mL injection
dhe6.,*STEMETIL 5mg suppositories
dhe7.,*STEMETIL 25mg suppositories
dhe8.,*VERTIGON 10mg m/r capsules
dhe9.,*VERTIGON 15mg m/r capsules
dheA.,*PROZIERE 5mg tablets
dheB.,BUCCASTEM M 3mg buccal tablets
dhea.,BUCCASTEM 3mg buccal tablets
dheb.,STEMETIL EFF 5mg/sachet granules
dhec.,PROCHLORPERAZINE 5mg/sachet granules
dhed.,PROCHLORPERAZINE 3mg bucc.tabs
dher.,PROCHLORPERAZINE 5mg tablets
dhes.,*PROCHLORPERAZINE 25mg tablets
dhet.,PROCHLORPERAZINE 5mg/5mL syrup
dheu.,PROCHLORPERAZINE 12.5mg/1mL injection
dhev.,PROCHLORPERAZINE 25mg/2mL injection
dhew.,PROCHLORPERAZINE 5mg suppositories
dhex.,PROCHLORPERAZINE 25mg suppositories
dhey.,PROCHLORPERAZINE 10mg m/r capsules
dhez.,PROCHLORPERAZINE 15mg m/r capsules
dhf..,PROMETHAZINE [nausea] [see c8i..]
