SNOMEDCTCodes,Description
46467001,Photochemotherapy with psoralens and ultraviolet A (procedure)
403720005,Psoralen and long-wave ultraviolet radiation-induced pruritus (disorder)
403719004,Psoralen and long-wave ultraviolet radiation acne (disorder)
403718007,Psoralen and long-wave ultraviolet radiation phototherapy burn (disorder)
403716006,Lentiginosis due to psoralen and long-wave ultraviolet radiation therapy (disorder)
403717002,Pseudoporphyria due to psoralen and long-wave ultraviolet radiation therapy (disorder)
403711001,Primary malignant neoplasm of skin due to psoralen and longwave ultraviolet radiation therapy (disorder)
403710000,Adverse effect from psoralen and long-wave ultraviolet radiation photochemotherapy (disorder)
403715005,Psoralen and long-wave ultraviolet radiation keratosis (disorder)
403712008,Psoralen and long-wave ultraviolet radiation therapy-associated basal cell carcinoma (disorder)
403714009,Psoralen and long-wave ultraviolet radiation therapy-associated malignant melanoma (disorder)
403713003,Psoralen and long-wave ultraviolet radiation therapy-associated squamous cell carcinoma (disorder)
