SNOMEDCTCodes,Description
36782811000001105,Rupatadine 1mg/ml oral solution (Aspire Pharma Ltd)
36782911000001100,Rupatadine 1mg/ml oral solution (Aspire Pharma Ltd) 120 ml
33767211000001103,Rupatadine 10mg tablets (Aspire Pharma Ltd)
33767311000001106,Rupatadine 10mg tablets (Aspire Pharma Ltd) 30 tablet 2 x 15 tablets
34712111000001109,Rupatadine 10mg tablets (Alliance Healthcare (Distribution) Ltd)
34712211000001103,Rupatadine 10mg tablets (Alliance Healthcare (Distribution) Ltd) 30 tablet 2 x 15 tablets
37765711000001109,Rupatadine 1mg/ml oral solution (Alliance Healthcare (Distribution) Ltd)
37765811000001101,Rupatadine 1mg/ml oral solution (Alliance Healthcare (Distribution) Ltd) 120 ml
37305711000001109,Rupatadine 1mg/ml oral solution (A A H Pharmaceuticals Ltd)
37305811000001101,Rupatadine 1mg/ml oral solution (A A H Pharmaceuticals Ltd) 120 ml
37658711000001103,Rupatadine 10mg tablets (A A H Pharmaceuticals Ltd)
37658911000001101,Rupatadine 10mg tablets (A A H Pharmaceuticals Ltd) 30 tablet 2 x 15 tablets
37799411000001102,Rupatadine 10mg tablets (DE Pharmaceuticals)
37799511000001103,Rupatadine 10mg tablets (DE Pharmaceuticals) 30 tablet
39241711000001102,Rupatadine 10mg tablets (Medihealth (Northern) Ltd)
39241811000001105,Rupatadine 10mg tablets (Medihealth (Northern) Ltd) 30 tablet
15858211000001103,Rupafin 10mg tablets (GlaxoSmithKline UK Ltd)
15858311000001106,Rupafin 10mg tablets (GlaxoSmithKline UK Ltd) 30 tablet 2 x 15 tablets
36786911000001101,Rupatadine 1mg/ml oral solution
36782711000001102,Rupatadine 1mg/ml oral solution 120 ml
15859211000001108,Rupatadine 10mg tablets
15858111000001109,Rupatadine 10mg tablets 30 tablet
