MedCodeID,Description
3525077011,History of left salpingo-oophorectomy
3522081017,History of right salpingo-oophorectomy
4266901000006110,Tubo-oophorectomy
80931000006115,Unilateral salpingo-oophorectomy
160591000006116,Salpingoophorectomy remaining solitary fallop tube and ovary
4266921000006117,SO - Salpingo-oophorectomy
4266911000006113,TO - Tubo-oophorectomy
160581000006119,Salpingo-oophorectomy
436651000006118,Abdominal hysterectomy and bilateral salpingoophorectomy
4268581000006111,TAH BSO - Total abdominal hysterectomy and bilateral salpingo-oophorectomy
436631000006113,Total abdominal hysterectomy with bilateral salpingo-oophorectomy
114581000006112,TAH - Total abdominal hysterectomy and bilateral salpingo-oophorectomy
114571000006114,TAH - Tot abdom hysterectomy and BSO - bilat salpingophorect
273897018,Salpingectomy of remaining solitary Fallopian tube
273896010,Unilateral salpingectomy
273910016,Salpingectomy
4322911000006114,Fallopian tube excision
4675241000006119,RSO - Right salpingo-oophorectomy
163231000006111,Right salpingo-oophorectomy
4675261000006115,LSO - Left salpingo-oophorectomy
748901000006117,Left salpingo-oophorectomy
273904016,Right salpingectomy
273905015,Left salpingectomy
2861611000006112,Partial salpingo-oophorectomy
11851331000006116,Total bilateral salpingectomy
273887010,Bilateral salpingectomy
2912941000006119,Bilateral complete salpingectomy
2912951000006117,Removal of both fallopian tubes
5728491000006115,Bilateral partial fallopian removal
5728541000006113,Bilateral fallopian tube resection
2974731000006113,Supracervical hysterectomy with removal of both tubes and ovaries
2980041000006119,Bilateral salpingectomy with oophorectomy
2980071000006110,BSO - Bilateral salpingo-oophorectomy
870341000006119,Bilat. salpingo-oophorectomy
511471000006119,Bilateral salpingo-oophorectomy
2980051000006117,Complete salpingo-oophorectomy
5886501000006119,Total salpingectomy
436681000006114,Abdominal hysterectomy and right salpingo-oophorectomy
436671000006111,Abdominal hysterectomy and left salpingoophorectomy
220401000000111,Abdominal hysterectomy and left salpingo-oophorectomy
6053501000006115,Laparoscopic salpingectomy
6053511000006117,Open salpingectomy
3161271000006116,Salpingectomy for tubal ectopic pregnancy by abdominal approach
978071000006115,Laparoscopic total abdominal hysterectomy and bilateral salpingo-oophorectomy
7079771000006115,History of bilateral salpingo-oophorectomy
7079781000006117,History of bilateral salpingo-oophorectomy (BSO)
7108321000006112,History of total hysterectomy with bilateral salpingo-oophorectomy (BSO)
7108311000006116,History of total hysterectomy with bilateral salpingo-oophorectomy
1701941000006119,Laparoscopy assisted vaginal hysterectomy with bilateral salpingo-oophorectomy
7315831000006117,Salpingectomy with removal of tubal pregnancy
7315821000006115,Excision of fallopian tube and surgical removal of ectopic pregnancy
7326941000006118,Laparoscopic salpingo-oophorectomy
7332641000006114,Laparoscopic salpingo-oophorectomy with conversion to laparotomy
7490131000006114,Laparoscopic left salpingo-oophorectomy
7490141000006116,Laparoscopic right salpingo-oophorectomy
7495101000006114,Laparoscopic bilateral salpingo-oophorectomy
7495651000006119,Laparoscopic bilateral salpingo-oophorectomy with conversion to laparotomy
7496011000006117,Laparoscopic left salpingo-oophorectomy after prior right salpingo-oophorectomy
7496021000006113,Laparoscopic right salpingo-oophorectomy after prior left salpingo-oophorectomy
870461000006114,Bilat.partial fallop.removal
445908010,Partial salpingectomy
3534131000006110,Laparoscopic treatment of ectopic pregnancy with salpingectomy
7640061000006110,Laparoscopic bilateral salpingo-oophorectomy using robotic assistance
7640051000006113,Robot assisted laparoscopic bilateral salpingo-oophorectomy
3537342013,Supracervical hysterectomy with left salpingo-oophorectomy
3537344014,Supracervical hysterectomy with right salpingo-oophorectomy
3537350016,Total hysterectomy with left salpingo-oophorectomy
3537352012,Total hysterectomy with right salpingo-oophorectomy
3540776019,Total hysterectomy with left salpingectomy
3635939013,Partial left salpingectomy
3635941014,Partial right salpingectomy
3906211000006117,Bilateral hysterosalpingo-ovariectomy
3906201000006115,Total hysterectomy with removal of both tubes and ovaries
1924981000006111,Subtotal abdominal hysterectomy and bilateral salpingo-oophorectomy
1924991000006114,Subtotal abdominal hysterectomy and right salpingo-oophorectomy
1925001000006119,Subtotal abdominal hysterectomy and left salpingo-oophorectomy
2358521000000110,Vaginal hysterectomy and right salpingo-oophorectomy
2358561000000119,Vaginal hysterectomy and left salpingo-oophorectomy
2358641000000116,Radical hysterectomy with bilateral salpingo-oophorectomy
870381000006113,Salpingectomy
870361000006115,Bilat.fallopian tube resection
870371000006110,Total bilateral salpingectomy
870391000006111,Unilat.salpingo-oophorectomy
870401000006113,Remaining ovary + tube removed
870411000006111,Total unilateral salpingectomy
870421000006115,Remaining fallopian tube remov
988221000006118,Salpingectomy
