SNOMEDCTCodes,Description
34871211000001100,Cosentyx 150mg/1ml solution for injection pre-filled syringes (Novartis Pharmaceuticals UK Ltd)
34871311000001108,Cosentyx 150mg/1ml solution for injection pre-filled syringes (Novartis Pharmaceuticals UK Ltd) 2 pre-filled disposable injection
29212511000001107,Cosentyx 150mg/1ml solution for injection pre-filled pens (Novartis Pharmaceuticals UK Ltd)
29212611000001106,Cosentyx 150mg/1ml solution for injection pre-filled pens (Novartis Pharmaceuticals UK Ltd) 2 pre-filled disposable injection
40150111000001106,Cosentyx 75mg/0.5ml solution for injection pre-filled syringes (Novartis Pharmaceuticals UK Ltd)
40150311000001108,Cosentyx 75mg/0.5ml solution for injection pre-filled syringes (Novartis Pharmaceuticals UK Ltd) 1 pre-filled disposable injection
39323811000001102,Cosentyx 300mg/2ml solution for injection pre-filled pens (Novartis Pharmaceuticals UK Ltd)
39323911000001107,Cosentyx 300mg/2ml solution for injection pre-filled pens (Novartis Pharmaceuticals UK Ltd) 1 pre-filled disposable injection
29212711000001102,Secukinumab 150mg/1ml solution for injection pre-filled syringes
29212811000001105,Secukinumab 150mg/1ml solution for injection pre-filled syringes 2 pre-filled disposable injection
29211611000001100,Secukinumab 150mg/1ml solution for injection pre-filled disposable devices
29212211000001109,Secukinumab 150mg/1ml solution for injection pre-filled disposable devices 2 pre-filled disposable injection
40241711000001100,Secukinumab 75mg/0.5ml solution for injection pre-filled syringes
40150011000001105,Secukinumab 75mg/0.5ml solution for injection pre-filled syringes 1 pre-filled disposable injection
39524011000001107,Secukinumab 300mg/2ml solution for injection pre-filled disposable devices
39323711000001105,Secukinumab 300mg/2ml solution for injection pre-filled disposable devices 1 pre-filled disposable injection
