CTV3Codes,Description
fk8..,Somatropin
fk8k.,Somatropin 36iu(12mg) injection
fk8q.,Genotropin 36iu(12mg) injection cartridge
fk8l.,Genotropin KabiPen(rbe) 36iu inj cartridge(pdr for recon)+diluent
fk8W.,Somatropin(epr) 12iu(4mg) injection (pdr for recon)+diluent
fk83.,Genotropin 12iu multidose injection
fk87.,Norditropin(epr) 12iu(4mg) injection (pdr for recon)+diluent
fk84.,Somatropin 12iu injection
fkAx.,Somatropin(epr) 5mg/1.5mL injection cartridge
fkA1.,Norditropin SimpleXx 5mg/1.5mL injection cartridge
fkAy.,Somatropin(epr) 10mg/1.5mL injection cartridge
fkA2.,Norditropin SimpleXx 10mg/1.5mL injection cartridge
fkAz.,Somatropin(epr) 15mg/1.5mL injection cartridge
fkA3.,Norditropin SimpleXx 15mg/1.5mL injection cartridge
fk8S.,Somatropin(epr) 12iu(4mg) inj cartridge(pdr for recon)+diluent+kit
fk8n.,Norditropin Penset 12iu(4mg) injection
fk8e.,Norditropin Penset-12(epr) 12iu inj cartridge(pdr for recon)+diluent+kit x12
fk8R.,Somatropin(epr) 24iu(8mg) inj cartridge(pdr for recon)+diluent+kit
fk8p.,Norditropin Penset 24iu(8mg) injection
fk8f.,Norditropin Penset-24(epr) 24iu inj cartridge(pdr for recon)+diluent+kit x12
fk8Z.,Somatropin(rbe) 4iu(1.3mg) injection (pdr for recon)+diluent
fk8z.,Genotropin 4iu(1.3mg) injection (pdr for recon)+diluent
fk85.,Humatrope(rbe) 4iu(1.3mg) injection (pdr for recon)+diluent
fkAr.,Somatropin(rbe) 10mg(30iu)/2mL injection cartridge
fkAA.,NutropinAq 10mg(30iu)/2mL injection cartridge
fk8L.,Somatropin(rbe) 12iu(4mg) injection (pdr for recon)+diluent
fk8s.,Zomacton(rbe) 12iu(4mg) injection (pdr for recon)+diluent
fkAq.,SOMATROPIN(rbe) 5mg(15iu)/1.5mL injection cartridge
fkAD.,OMNITROPE 5mg(15iu)/1.5mL injection cartridge
fk8V.,Somatropin(rbe) 16iu(5.33mg) injection (pdr for recon)+diluent
fk8h.,Humatrope(rbe) 16iu(5.33mg) injection (pdr for recon)+diluent
fk8M.,Somatropin(rbe) 4iu(1.33mg) injection (pdr for recon)+diluent+kit
fk89.,Genotropin KabiVial(rbe) 4iu(1.3mg) injection (pdr for recon)+diluent+kit
fk82.,Genotropin 4iu/1mL injection (pdr for recon)
fk81.,Somatropin 4iu/1mL injection (pdr for recon)
fk8K.,Somatropin(rbe) 16iu(5.33mg) injection (pdr for recon)+diluent+kit
fk8a.,Genotropin KabiVial(rbe) 16iu(5.3mg) injection (pdr for recon)+diluent+kit
fk8I.,Somatropin(rbe) 0.6iu(0.2mg) prefilled syringe(pdr for recon)+diluent
fk8B.,Genotropin MiniQuick 0.6iu(0.2mg) prefilled syringe(pdr for recon)+diluent
fk8H.,Somatropin(rbe) 1.2iu(0.4mg) prefilled syringe(pdr for recon)+diluent
fk8E.,Genotropin MiniQuick 1.2iu(0.4mg) prefilled syringe(pdr for recon)+diluent
fk8G.,Somatropin(rbe) 1.8iu(0.6mg) prefilled syringe(pdr for recon)+diluent
fk8C.,Genotropin MiniQuick 1.8iu(0.6mg) prefilled syringe(pdr for recon)+diluent
fk8Q.,Somatropin(rbe) 2iu(0.67mg) prefilled syringe(pdr for recon)+diluent
fk8b.,Genotropin KabiQuick(rbe) 2iu(0.7mg) prefilled syringe(pdr for recon)+diluent
fk8O.,Somatropin(rbe) 2.4iu(0.8mg) prefilled syringe(pdr for recon)+diluent
fk8D.,Genotropin MiniQuick 2.4iu(0.8mg) prefilled syringe(pdr for recon)+diluent
fk8P.,Somatropin(rbe) 3iu(1mg) prefilled syringe(pdr for recon)+diluent
fk8c.,Genotropin KabiQuick(rbe) 3iu(1mg) prefilled syringe(pdr for recon)+diluent
fk8F.,Genotropin MiniQuick 3iu(1mg) prefilled syringe(pdr for recon)+diluent
fkAs.,Somatropin(rbe) 3.6iu(1.2mg) prefilled syringe(pdr for recon)+diluent
fkA4.,Genotropin MiniQuick 3.6iu(1.2mg) prefilled syringe(pdr for recon)+diluent
fk8N.,Somatropin(rbe) 4iu(1.33mg) prefilled syringe(pdr for recon)+diluent
