SNOMEDCTCodes,Description
18199911000001106,Norditropin SimpleXx 10mg/1.5ml solution for injection cartridges˜-˜Mawdsley-Brooks & Company Ltd
18200011000001104,Norditropin SimpleXx 10mg/1.5ml solution for injection cartridges˜1˜cartridge˜-˜Mawdsley-Brooks & Company Ltd
4105111000001108,Norditropin SimpleXx 10mg/1.5ml solution for injection cartridges˜-˜Novo Nordisk Ltd
4105211000001102,Norditropin SimpleXx 10mg/1.5ml solution for injection cartridges˜1˜cartridge˜-˜Novo Nordisk Ltd
39408411000001108,Norditropin SimpleXx 10mg/1.5ml solution for injection cartridges˜-˜Pilsco Ltd
39408611000001106,Norditropin SimpleXx 10mg/1.5ml solution for injection cartridges˜1˜cartridge˜-˜Pilsco Ltd
11111011000001101,Norditropin SimpleXx 10mg/1.5ml solution for injection cartridges˜-˜Waymade Healthcare Plc
11111511000001109,Norditropin SimpleXx 10mg/1.5ml solution for injection cartridges˜1˜cartridge˜-˜Waymade Healthcare Plc
4199011000001107,Norditropin SimpleXx 15mg/1.5ml solution for injection cartridges˜-˜Novo Nordisk Ltd
4199311000001105,Norditropin SimpleXx 15mg/1.5ml solution for injection cartridges˜1˜cartridge˜-˜Novo Nordisk Ltd
11108911000001108,Norditropin SimpleXx 15mg/1.5ml solution for injection cartridges˜-˜Waymade Healthcare Plc
11109111000001103,Norditropin SimpleXx 15mg/1.5ml solution for injection cartridges˜1˜cartridge˜-˜Waymade Healthcare Plc
4104111000001109,Norditropin SimpleXx 5mg/1.5ml solution for injection cartridges˜-˜Novo Nordisk Ltd
4104211000001103,Norditropin SimpleXx 5mg/1.5ml solution for injection cartridges˜1˜cartridge˜-˜Novo Nordisk Ltd
39408211000001109,Norditropin SimpleXx 5mg/1.5ml solution for injection cartridges˜-˜Pilsco Ltd
39408311000001101,Norditropin SimpleXx 5mg/1.5ml solution for injection cartridges˜1˜cartridge˜-˜Pilsco Ltd
11110111000001106,Norditropin SimpleXx 5mg/1.5ml solution for injection cartridges˜-˜Waymade Healthcare Plc
11110211000001100,Norditropin SimpleXx 5mg/1.5ml solution for injection cartridges˜1˜cartridge˜-˜Waymade Healthcare Plc
13646611000001102,Omnitrope Pen 10 10mg/1.5ml solution for injection cartridges˜-˜Sandoz Ltd
13646711000001106,Omnitrope Pen 10 10mg/1.5ml solution for injection cartridges˜1˜cartridge˜-˜Sandoz Ltd
17328011000001106,Omnitrope Pen 10 10mg/1.5ml solution for injection cartridges˜5˜cartridge˜-˜Sandoz Ltd
23266711000001100,Omnitrope SurePal 10 10mg/1.5ml solution for injection cartridges˜-˜Sandoz Ltd
23266811000001108,Omnitrope SurePal 10 10mg/1.5ml solution for injection cartridges˜5˜cartridge˜-˜Sandoz Ltd
7515011000001105,NutropinAq 10mg/2ml solution for injection cartridges˜-˜Ipsen Ltd
7515111000001106,NutropinAq 10mg/2ml solution for injection cartridges˜1˜cartridge˜-˜Ipsen Ltd
23408411000001107,NutropinAq 10mg/2ml solution for injection cartridges˜3˜cartridge˜-˜Ipsen Ltd
29680311000001100,Omnitrope SurePal 15 15mg/1.5ml solution for injection cartridges˜-˜Sandoz Ltd
29680411000001107,Omnitrope SurePal 15 15mg/1.5ml solution for injection cartridges˜5˜cartridge˜-˜Sandoz Ltd
12795111000001105,Omnitrope Pen 5 5mg/1.5ml solution for injection cartridges˜-˜Sandoz Ltd
12795211000001104,Omnitrope Pen 5 5mg/1.5ml solution for injection cartridges˜5˜cartridge˜-˜Sandoz Ltd
23266311000001104,Omnitrope SurePal 5 5mg/1.5ml solution for injection cartridges - Sandoz Ltd
23266611000001109,Omnitrope SurePal 5 5mg/1.5ml solution for injection cartridges˜5˜cartridge˜-˜Sandoz Ltd
18668811000001107,Saizen 12mg/1.5ml solution for injection cartridges˜-˜Merck Serono Ltd
18669011000001106,Saizen 12mg/1.5ml solution for injection cartridges˜1˜cartridge˜-˜Merck Serono Ltd
18669511000001103,Saizen 20mg/2.5ml solution for injection cartridges˜-˜Merck Serono Ltd
18669611000001104,Saizen 20mg/2.5ml solution for injection cartridges˜1˜cartridge˜-˜Merck Serono Ltd
18668111000001100,Saizen 6mg/1.03ml solution for injection cartridges˜-˜Merck Serono Ltd
18668211000001106,Saizen 6mg/1.03ml solution for injection cartridges˜1˜cartridge˜-˜Merck Serono Ltd
38609411000001104,Norditropin FlexPro 10mg/1.5ml solution for injection pre-filled pens˜-˜Novo Nordisk Ltd
38609511000001100,Norditropin FlexPro 10mg/1.5ml solution for injection pre-filled pens˜1˜pre-filled disposable injection˜-˜Novo Nordisk Ltd
30938211000001104,Norditropin NordiFlex 10mg/1.5ml solution for injection pre-filled pens˜-˜Novo Nordisk Ltd
30938311000001107,Norditropin NordiFlex 10mg/1.5ml solution for injection pre-filled pens˜1˜pre-filled disposable injection˜-˜Novo Nordisk Ltd
38608811000001109,Norditropin FlexPro 15mg/1.5ml solution for injection pre-filled pens˜-˜Novo Nordisk Ltd
38608911000001104,Norditropin FlexPro 15mg/1.5ml solution for injection pre-filled pens˜1˜pre-filled disposable injection˜-˜Novo Nordisk Ltd
18636811000001103,Norditropin NordiFlex 15mg/1.5ml solution for injection pre-filled pens˜-˜Novo Nordisk Ltd
18636911000001108,Norditropin NordiFlex 15mg/1.5ml solution for injection pre-filled pens˜1˜pre-filled disposable injection˜-˜Novo Nordisk Ltd
38609211000001103,Norditropin FlexPro 5mg/1.5ml solution for injection pre-filled pens˜-˜Novo Nordisk Ltd
38609311000001106,Norditropin FlexPro 5mg/1.5ml solution for injection pre-filled pens˜1˜pre-filled disposable injection˜-˜Novo Nordisk Ltd
