V2Codes,Description
fk8..,SOMATROPIN
fk81.,SOMATROPIN 4iu/1mL injection (pdr for recon)
fk82.,GENOTROPIN 4iu/1mL injection (pdr for recon)
fk83.,GENOTROPIN 12iu injection multidose
fk84.,SOMATROPIN 12iu injection
fk85.,HUMATROPE 4iu(1.3mg) injection (pdr for recon)
fk86.,SAIZEN 4iu(1.33mg) injection (pdr for recon)
fk87.,NORDITROPIN 12iu(4mg) inject (pdr for recon)+diluent
fk88.,GENOTROPIN KABIPEN 16iu injection
fk89.,GENOTROPIN KABIVIAL 4iu(1.3mg) injection(multidose)
fk8A.,SAIZEN 24iu(8mg) injection (pdr for recon)+solvent
fk8B.,GENOTROPIN MINIQUICK 0.6iu(0.2mg) prefilled syringe+diluent
fk8C.,GENOTROPIN MINIQUICK 1.8iu(0.6mg) prefilled syringe+diluent
fk8D.,GENOTROPIN MINIQUICK 2.4iu(0.8mg) prefilled syringe+diluent
fk8E.,GENOTROPIN MINIQUICK 1.2iu(0.4mg) prefilled syringe+diluent
fk8F.,GENOTROPIN MINIQUICK 3iu(1mg) prefilled syringe+diluent
fk8G.,SOMATROPIN(rbe) 1.8iu(0.6mg) prefilled syringe+diluent
fk8H.,SOMATROPIN(rbe) 1.2iu(0.4mg) prefilled syringe+diluent
fk8I.,SOMATROPIN(rbe) 0.6iu(0.2mg) prefilled syringe+diluent
fk8J.,SOMATROPIN(rmc) 24iu(8mg) injection (pdr for recon)+solvent
fk8K.,SOMATROPIN(rbe) 16iu(5.33mg) injection+diluent+kit
fk8L.,SOMATROPIN(rbe) 12iu(4mg) injection powder+diluent
fk8M.,SOMATROPIN(rbe) 4iu(1.33mg) injection+diluent+kit
fk8N.,SOMATROPIN(rbe) 4iu(1.33mg) prefilled syringe+diluent
fk8O.,SOMATROPIN(rbe) 2.4iu(0.8mg) prefilled syringe+diluent
fk8P.,SOMATROPIN(rbe) 3iu(1mg) prefilled syringe+diluent
fk8Q.,SOMATROPIN(rbe) 2iu(0.67mg) prefilled syringe+diluent
fk8R.,SOMATROPIN(epr) 24iu(8mg) injection cartridge+diluent+kit
fk8S.,SOMATROPIN(epr) 12iu(4mg) injection cartridge+diluent+kit
fk8U.,SOMATROPIN(rbe) 16iu(5.33mg) injection cartridges
fk8V.,SOMATROPIN(rbe) 16iu(5.33mg) injection powder+diluent
fk8W.,SOMATROPIN(epr) 12iu(4mg) inject (pdr for recon)+diluent
fk8X.,SOMATROPIN(rmc) 10iu(3.33mg) injection powder+diluent
fk8Y.,SOMATROPIN(rmc) 4iu(1.33mg) injection powder+diluent
fk8Z.,SOMATROPIN(rbe) 4iu(1.3mg) injection powder+diluent
fk8a.,GENOTROPIN KABIVIAL(rbe) 16iu(5.3mg) injection (pdr for recon)+diluent+kit
fk8b.,GENOTROPIN KABIQUICK 2iu(0.7mg) injection
fk8c.,GENOTROPIN KABIQUICK 3iu(1mg) injection
fk8d.,GENOTROPIN KABIQUICK 4iu(1.3mg) injection
fk8e.,NORDITROPIN PENSET 12iu injection x12
fk8f.,NORDITROPIN PENSET 24iu injection x12
fk8g.,SAIZEN 10iu(3.33mg) injection (pdr for recon)
fk8h.,HUMATROPE 16iu(5.33mg) injection powder+diluent
fk8j.,GENOTROPIN KABIPEN(REFILL) 36iu injection
fk8k.,SOMATROPIN 36iu(12mg) injection
fk8l.,GENOTROPIN KABIPEN 36iu injection
fk8m.,GENOTROPIN KABIPEN(REFILL) 16iu injection
fk8n.,NORDITROPIN PENSET 12iu(4mg) injection
fk8p.,NORDITROPIN PENSET 24iu(8mg) injection
fk8q.,GENOTROPIN 36iu(12mg) injection cartridges
fk8r.,GENOTROPIN 16iu(5.3mg) injection cartridges
fk8s.,ZOMACTON 12iu(4mg) injection (pdr for recon)
fk8t.,SOMATROPIN(rbe) 18iu(6mg) injection cartridge+diluent
fk8u.,SOMATROPIN(rbe) 36iu(12mg) injection cartridge+diluent
fk8v.,SOMATROPIN(rbe) 72iu(24mg) injection cartridge+diluent
fk8w.,HUMATROPE 18iu(6mg) injection cartridge+diluent
fk8x.,HUMATROPE 36iu(12mg) injection cartridge+diluent
fk8y.,HUMATROPE 72iu(24mg) injection cartridge+diluent
fk8z.,GENOTROPIN 4iu(1.3mg) injection powder+diluent
fkA..,SOMATROPIN [2]
fkA1.,NORDITROPIN SIMPLEXX 5mg/1.5mL injection cartridge
fkA2.,NORDITROPIN SIMPLEXX 10mg/1.5mL injection cartridge
fkA3.,NORDITROPIN SIMPLEXX 15mg/1.5mL injection cartridge
fkA4.,GENOTROPIN MINIQUICK 3.6iu(1.2mg) prefilled syringe+diluent
fkA5.,GENOTROPIN MINIQUICK 4.2iu(1.4mg) prefilled syringe+diluent
fkA6.,GENOTROPIN MINIQUICK 4.8iu(1.6mg) prefilled syringe+diluent
fkA7.,GENOTROPIN MINIQUICK 5.4iu(1.8mg) prefilled syringe+diluent
fkA8.,GENOTROPIN MINIQUICK 6iu(2mg) prefilled syringe+diluent
fkA9.,SAIZEN CLICK.EASY 24iu(8mg) injection (pdr for recon)+solvent
fkAA.,NUTROPINAQ 10mg(30iu)/2mL injection cartridge
fkAB.,OMNITROPE 5mg(15iu) powder and solvent for solution for injection
fkAC.,SOMATROPIN 5mg(15iu) powder and solvent for solution for injection
fkAD.,OMNITROPE 5mg(15iu)/1.5mL injection cartridge
fkAE.,OMNITROPE 10mg(30iu)/1.5mL injection cartridge
fkAF.,ZOMACTON 10mg injection (pdr for recon)+solvent
fkAG.,SOMATROPIN(rbe) 10mg injection (pdr for recon)+solvent
fkAH.,GENOTROPIN GOQUICK 12mg powder and solvent injection pen
fkAI.,SOMATROPIN(rbe) 12mg powder and solvent injection pen
fkAJ.,GENOTROPIN GOQUICK 5.3mg powder and solvent injection pen
fkAK.,SOMATROPIN(rbe) 5.3mg powder and solvent injection pen
fkAL.,SAIZEN 6mg/1.03mL solution for injection cartridge
fkAM.,SOMATROPIN(rmc) 6mg/1.03mL solution for injection cartridge
fkAN.,SAIZEN 12mg/1.5mL solution for injection cartridge
fkAO.,SOMATROPIN(rmc) 12mg/1.5mL solution for injection cartridge
fkAP.,SAIZEN 20mg/2.5mL solution for injection cartridge
fkAQ.,SOMATROPIN(rmc) 20mg/2.5mL solution for injection cartridge
fkAR.,NORDITROPIN NORDIFLEX 15mg/1.5mL solution for injection pen
fkAS.,SOMATROPIN(epr) 15mg/1.5mL solution for injection pen
fkAT.,OMNITROPE SUREPAL 5 5mg/1.5mL soln for injection cartridges
fkAU.,OMNITROPE SUREPAL 10 10mg/1.5mL soln for inj cartridges
fkAV.,OMNITROPE SUREPAL 15 15mg/1.5mL solution for inj cartridges
fkAW.,SOMATROPIN(rbe) 15mg(45iu)/1.5mL solution for inj cartridges
fkAp.,SOMATROPIN(rbe) 10mg(30iu)/1.5mL injection cartridge
fkAq.,SOMATROPIN(rbe) 5mg(15iu)/1.5mL injection cartridge
fkAr.,SOMATROPIN(rbe) 10mg(30iu)/2mL injection cartridge
fkAs.,SOMATROPIN(rbe) 3.6iu(1.2mg) prefilled syringe+diluent
fkAt.,SOMATROPIN(rbe) 4.2iu(1.4mg) prefilled syringe+diluent
fkAu.,SOMATROPIN(rbe) 4.8iu(1.6mg) prefilled syringe+diluent
fkAv.,SOMATROPIN(rbe) 5.4iu(1.8mg) prefilled syringe+diluent
fkAw.,SOMATROPIN(rbe) 6iu(2mg) prefilled syringe+diluent
fkAx.,SOMATROPIN(epr) 5mg/1.5mL injection cartridge
fkAy.,SOMATROPIN(epr) 10mg/1.5mL injection cartridge
fkAz.,SOMATROPIN(epr) 15mg/1.5mL injection cartridge
