ProdCodeId,Description
10333941000033117,somatropin (rbe) 15mg/1.5ml solution for injection cartridges
10334041000033115,omnitrope surepal 15 15mg/1.5ml solution for injection cartridges (sandoz ltd)
10943041000033111,somatropin (epr) 10mg/1.5ml solution for injection pre-filled disposable devices
10943141000033110,somatropin (epr) 5mg/1.5ml solution for injection pre-filled disposable devices
10943241000033115,norditropin nordiflex 10mg/1.5ml solution for injection pre-filled pens (novo nordisk ltd)
10943341000033113,norditropin nordiflex 5mg/1.5ml solution for injection pre-filled pens (novo nordisk ltd)
1241041000033118,saizen 3.33mg powder and solvent for solution for injection vials (merck serono ltd)
1250041000033113,saizen 1.33mg powder and solvent for solution for injection vials (merck serono ltd)
1350841000033113,somatropin (rbe) 6mg powder and solvent for solution for injection cartridges
1350941000033117,somatropin (rbe) 12mg powder and solvent for solution for injection cartridges
1351041000033110,somatropin (rbe) 24mg powder and solvent for solution for injection cartridges
1354441000033115,somatropin (rmc) 3.33mg powder and solvent for solution for injection vials
1355141000033112,somatropin (rbe) 5.3mg powder and solvent for solution for injection vials
1357741000033116,somatropin (rmc) 1.33mg powder and solvent for solution for injection vials
1358441000033112,somatropin (rbe) 4mg powder and solvent for solution for injection vials
13717541000033114,norditropin flexpro 5mg/1.5ml solution for injection pre-filled pens (novo nordisk ltd)
13717641000033110,norditropin flexpro 10mg/1.5ml solution for injection pre-filled pens (novo nordisk ltd)
13717741000033118,norditropin flexpro 15mg/1.5ml solution for injection pre-filled pens (novo nordisk ltd)
1560541000033115,zomacton 4mg powder and solvent for solution for injection vials (ferring pharmaceuticals ltd)
1751441000033117,saizen injection 8 mg (24 units/vial)
1753341000033110,somatropin (rmc) 8mg powder and solvent for solution for injection vials
1893541000033111,somatropin (rbe) 200microgram powder and solvent for solution for injection pre-filled disposable devices
1893641000033112,somatropin (rbe) 400microgram powder and solvent for solution for injection pre-filled disposable devices
1893741000033115,somatropin (rbe) 600microgram powder and solvent for solution for injection pre-filled disposable devices
