V2Codes,Description
b21..,BENDROFLUMETHIAZIDE
b211.,BENDROFLUMETHIAZIDE 2.5mg tablets
b212.,BENDROFLUMETHIAZIDE 5mg tablets
b213.,APRINOX 2.5mg tablets
b214.,APRINOX 5mg tablets
b215.,*BERKOZIDE 2.5mg tablets
b216.,*BERKOZIDE 5mg tablets
b217.,*CENTYL 2.5mg tablets
b218.,*CENTYL 5mg tablets
b219.,NEO-NACLEX 5mg tablets
b21A.,*NEO-BENDROMAX 2.5mg tablets
b21B.,*NEO-BENDROMAX 5mg tablets
b21a.,*URIZIDE 5mg tablets
b21b.,NEO-NACLEX 2.5mg tablets
b27..,HYDROFLUMETHIAZIDE
b271.,*HYDRENOX 50mg tablets
b27z.,HYDROFLUMETHIAZIDE 50mg tablets
b22..,CHLOROTHIAZIDE
b221.,*SALURIC 500mg tablets
b222.,DIURIL 250mg/5mL oral suspension
b22y.,CHLOROTHIAZIDE 250mg/5mL oral suspension
b22z.,*CHLOROTHIAZIDE 500mg tablets
b26..,HYDROCHLOROTHIAZIDE
b261.,*ESIDREX 25mg tablets
b262.,*ESIDREX 50mg tablets
b263.,*HYDROSALURIC 25mg tablets
b264.,*HYDROSALURIC 50mg tablets
b26y.,HYDROCHLOROTHIAZIDE 50mg tablets
b26z.,HYDROCHLOROTHIAZIDE 25mg tablets
b2c..,POLYTHIAZIDE
b2c1.,*NEPHRIL 1mg tablets
b2cz.,*POLYTHIAZIDE 1mg tablets
b25..,CYCLOPENTHIAZIDE
b251.,NAVIDREX 500micrograms tablets
b25z.,CYCLOPENTHIAZIDE 500microgram tablets
