ProdCodeId,Description
11241000033113,accuretic 10mg/12.5mg tablets (pfizer ltd)
1132741000033111,prestim tablets (meda pharmaceuticals ltd)
1274641000033111,secadrex 200mg/12.5mg tablets (sanofi)
13141000033119,acezide 25mg/50mg tablets (bristol-myers squibb pharmaceuticals ltd)
13443441000033115,lisoretic 10mg/12.5mg tablets (bristol laboratories ltd)
13443541000033119,lisoretic 20mg/12.5mg tablets (bristol laboratories ltd)
1414241000033117,tenben 25mg/1.25mg capsules (galen ltd)
1468141000033118,triamaxco 50mg/25mg tablets (ashbourne pharmaceuticals ltd)
1470341000033112,triam-co 50mg/25mg tablets (ivax pharmaceuticals uk ltd)
1495441000033116,urizide 5mg tablets (dr reddy's laboratories (uk) ltd)
1551841000033118,zestoretic 10 tablets (astrazeneca uk ltd)
1552341000033118,zestoretic 20 tablets (astrazeneca uk ltd)
1893141000033119,co-zidocapt 12.5mg/25mg tablets
1893241000033114,co-zidocapt 25mg/50mg tablets
209241000033119,capozide ls 12.5mg/25mg tablets (bristol-myers squibb pharmaceuticals ltd)
209841000033115,carace 10 plus tablets (merck sharp & dohme ltd)
216441000033110,capozide 25mg/50mg tablets (bristol-myers squibb pharmaceuticals ltd)
217041000033116,carace 20 plus tablets (merck sharp & dohme ltd)
2216141000033115,coaprovel 150mg/12.5mg tablets (sanofi)
2216241000033110,coaprovel 300mg/12.5mg tablets (sanofi)
234841000033110,centyl k modified-release tablets (leo pharma)
246241000033116,chlorothiazide 250mg/5ml oral suspension
247941000033110,chlorothiazide tablets 500 mg
2746441000033111,hydrochlorothiazide 50mg/5ml oral solution
2864241000033110,micardisplus 40mg/12.5mg tablets (boehringer ingelheim ltd)
2864341000033117,micardisplus 80mg/12.5mg tablets (boehringer ingelheim ltd)
2955741000033117,synuretic 50 tablets (dr reddy's laboratories (uk) ltd)
2955841000033110,synuretic 25 tablets (dr reddy's laboratories (uk) ltd)
2955941000033119,urizide 2.5mg tablets (dr reddy's laboratories (uk) ltd)
3083141000033112,bendroflumethiazide 2.5mg tablets
3083241000033117,bendroflumethiazide 5mg tablets
3136041000033117,caralpha 10mg/12.5mg tablets (actavis uk ltd)
3136141000033118,caralpha 20mg/12.5mg tablets (actavis uk ltd)
3151841000033117,bendroflumethiazide 2.5mg/5ml oral suspension
3152541000033112,co-diovan 160mg/12.5mg tablets (novartis pharmaceuticals uk ltd)
3152641000033113,co-diovan 160mg/25mg tablets (novartis pharmaceuticals uk ltd)
3160641000033118,quinapril 10mg / hydrochlorothiazide 12.5mg tablets
3160841000033117,lisinopril 10mg / hydrochlorothiazide 12.5mg tablets
3160941000033113,lisinopril 20mg / hydrochlorothiazide 12.5mg tablets
3161041000033115,bendroflumethiazide 2.5mg / potassium chloride 573mg (potassium 7.7mmol) modified-release tablets
3161141000033116,irbesartan 150mg / hydrochlorothiazide 12.5mg tablets
3161241000033111,irbesartan 300mg / hydrochlorothiazide 12.5mg tablets
3161341000033118,metoprolol 100mg / hydrochlorothiazide 12.5mg tablets
3161441000033112,valsartan 160mg / hydrochlorothiazide 12.5mg tablets
3161541000033113,valsartan 160mg / hydrochlorothiazide 25mg tablets
3161741000033117,losartan 50mg / hydrochlorothiazide 12.5mg tablets
3162241000033117,enalapril 20mg / hydrochlorothiazide 12.5mg tablets
3162641000033119,telmisartan 40mg / hydrochlorothiazide 12.5mg tablets
3162741000033111,telmisartan 80mg / hydrochlorothiazide 12.5mg tablets
3162841000033118,bendroflumethiazide 2.5mg / potassium chloride 630mg (potassium 8.4mmol) modified-release tablets
3162941000033114,acebutolol 200mg / hydrochlorothiazide 12.5mg tablets
3190741000033112,valsartan 80mg / hydrochlorothiazide 12.5mg tablets
3190841000033119,co-diovan 80mg/12.5mg tablets (novartis pharmaceuticals uk ltd)
3279541000033115,lisicostad 10mg/12.5mg tablets (genus pharmaceuticals ltd)
3279641000033119,lisicostad 20mg/12.5mg tablets (genus pharmaceuticals ltd)
3346641000033118,timolol 10mg / bendroflumethiazide 2.5mg tablets
3346841000033117,losartan 100mg / hydrochlorothiazide 25mg tablets
3346941000033113,cozaar-comp 100mg/25mg tablets (merck sharp & dohme ltd)
351941000033111,co-amilozide 5mg/50mg/5ml oral solution
369141000033118,co-amilozide 5mg/50mg tablets
370241000033111,co-triamterzide 50mg/25mg tablets
370841000033110,cozaar-comp 50mg/12.5mg tablets (merck sharp & dohme ltd)
372741000033116,co-betaloc tablets (pfizer ltd)
372841000033114,co-betaloc sa tablets (pfizer ltd)
375441000033118,corgaretic 40mg tablets (sanofi-synthelabo ltd)
375541000033117,corgaretic 80mg tablets (sanofi-synthelabo ltd)
376941000033117,co-amilozide 2.5mg/25mg tablets
3908941000033112,olmesartan medoxomil 20mg / hydrochlorothiazide 12.5mg tablets
3909041000033115,olmesartan medoxomil 20mg / hydrochlorothiazide 25mg tablets
3909141000033116,olmetec plus 20mg/12.5mg tablets (daiichi sankyo uk ltd)
3909241000033111,olmetec plus 20mg/25mg tablets (daiichi sankyo uk ltd)
3924141000033111,chlorothiazide 200mg/5ml oral suspension
3995241000033112,irbesartan 300mg / hydrochlorothiazide 25mg tablets
3995341000033119,coaprovel 300mg/25mg tablets (sanofi)
4424741000033110,losartan 100mg / hydrochlorothiazide 12.5mg tablets
4424841000033117,cozaar-comp 100mg/12.5mg tablets (merck sharp & dohme ltd)
4548741000033111,telmisartan 80mg / hydrochlorothiazide 25mg tablets
4548841000033118,micardisplus 80mg/25mg tablets (boehringer ingelheim ltd)
