CTV3Codes,Description
b28..,Indapamide
b285.,Indapamide 1.5mg m/r tablet
b286.,Natrilix SR 1.5mg m/r tablet
b28z.,Indapamide 2.5mg tablet
b283.,Natramid 2.5mg tablet
b281.,Natrilix 2.5mg tablet
b282.,Nindaxa 2.5mg tablet
b284.,Opumide 2.5mg tablet
b2b..,Metolazone
b2b3.,Metolazone 500micrograms tablet
b2b2.,Xuret 500micrograms tablet
b2bz.,Metolazone 5mg tablet
b2b1.,Metenix-5 tablet
b23..,Chlortalidone
b23y.,Chlortalidone 50mg tablet
b231.,Hygroton 50mg tablet
b23z.,Chlorthalidone 100mg tablet
b232.,Hygroton 100mg tablet
x05df,Perindopril + indapamide
bi55.,Perindopril erbumine + indapamide 4mg/1.25mg tablet
bi56.,Coversyl Plus 4mg/1.25mg tablet
b287.,Ethibide XL 1.5mg m/r tablets
b288.,Indipam XL 1.5mg m/r tablets
b289.,Mapemid XL 1.5mg m/r tablets
biC8.,PERINDOPRIL ARGININE + INDAPAMIDE 5mg/1.25mg tablets
biC7.,COVERSYL ARGININE PLUS 5mg/1.25mg tablets
x02RK,Atenolol + chlortalidone
bdem.,Co-tenidone 50mg/12.5mg tablet
bdeo.,AtenixCo 50mg/12.5mg tablet
bdeq.,Tenchlor 50mg/12.5mg tablet
bdeg.,Tenoret 50 tablet
bdeN.,Totaretic 50mg/12.5mg
bden.,Co-tenidone 100mg/25mg tablet
bdep.,AtenixCo 100mg/12.5mg tablet
bder.,Tenchlor 100mg/12.5mg tablet
bdeh.,Tenoretic tablet
bdeO.,Totaretic 100mg/12.5mg
b2d..,Xipamide
b2dz.,Xipamide 20mg tablet
b2d1.,Diurexan 20mg tablet
