V2Codes,Description
b28..,INDAPAMIDE
b281.,NATRILIX 2.5mg tablets
b282.,*NINDAXA 2.5mg tablets
b283.,*NATRAMID 2.5mg tablets
b284.,*OPUMIDE 2.5mg tablets
b285.,INDAPAMIDE 1.5mg m/r tablets
b286.,NATRILIX SR 1.5mg m/r tablets
b287.,ETHIBIDE XL 1.5mg m/r tablets
b288.,INDIPAM XL 1.5mg m/r tablets
b289.,MAPEMID XL 1.5mg m/r tablets
b28z.,INDAPAMIDE 2.5mg tablets
b2b..,METOLAZONE
b2b1.,*METENIX-5 5mg tablets
b2b2.,*XURET 500micrograms tablets
b2b3.,METOLAZONE 500micrograms tablets
b2bz.,*METOLAZONE 5mg tablets
b23..,CHLORTALIDONE
b231.,HYGROTON 50mg tablets
b232.,*HYGROTON 100mg tablets
b23y.,CHLORTALIDONE 50mg tablets
b23z.,*CHLORTHALIDONE 100mg tablets
biC8.,PERINDOPRIL ARGININE + INDAPAMIDE 5mg/1.25mg tablets
bdem.,ATENOLOL + CHLORTHALIDONE 50mg/12.5mg tablets
bden.,ATENOLOL + CHLORTHALIDONE 100/25mg tablets
b51G.,TRIAMTERENE + CHLORTHALIDONE 50mg/50mg tablets
b2d..,XIPAMIDE
b2d1.,DIUREXAN 20mg tablets
b2dz.,XIPAMIDE 20mg tablets
