ProdCodeId,Description
12312641000033118,alkapamid xl 1.5mg tablets (hbs healthcare ltd)
12988441000033113,lorvacs xl 1.5mg tablets (torrent pharma (uk) ltd)
1425441000033113,tenchlor 50mg/12.5mg tablets (teva uk ltd)
1425541000033114,tenchlor 100mg/25mg tablets (teva uk ltd)
1426241000033117,tenoret 50mg/12.5mg tablets (astrazeneca uk ltd)
1426341000033110,tenoretic 100mg/25mg tablets (astrazeneca uk ltd)
1523941000033114,viskaldix tablets (advanz pharma)
1543941000033111,xipamide 20mg tablets
248041000033113,chlorthalidone tablets 100 mg
248141000033112,chlorthalidone tablets 25 mg
250141000033112,chlorthalidone tablets 50 mg
2739541000033117,coversyl plus tablets (servier laboratories ltd)
3086241000033111,chlortalidone 50mg tablets
3161641000033114,perindopril erbumine 4mg / indapamide 1.25mg tablets
3162341000033110,triamterene 50mg / chlortalidone 50mg tablets
3163141000033117,pindolol 10mg / clopamide 5mg tablets
376441000033110,co-tenidone 50mg/12.5mg tablets
376541000033111,co-tenidone 100mg/25mg tablets
4454541000033118,perindopril arginine 5mg / indapamide 1.25mg tablets
4454641000033117,coversyl arginine plus 5mg/1.25mg tablets (servier laboratories ltd)
4571241000033110,ethibide xl 1.5mg tablets (genus pharmaceuticals ltd)
4656741000033119,tensaid xl 1.5mg tablets (mylan)
470741000033113,diurexan 20mg tablets (mylan)
5053141000033113,indipam xl 1.5mg tablets (accord healthcare ltd)
5128741000033110,mapemid xl 1.5mg tablets (teva uk ltd)
5566041000033114,rawel xl 1.5mg tablets (consilient health ltd)
5816741000033112,varbim xl 1.5mg tablets (teva uk ltd)
742841000033114,hygroton 50mg tablets (alliance pharmaceuticals ltd)
765741000033116,indapamide 1.5mg modified-release tablets
768641000033118,indapamide 2.5mg tablets
769741000033118,nindaxa 2.5 tablets (ashbourne pharmaceuticals ltd)
796541000033115,kalspare tablets (dhp healthcare ltd)
8196441000033118,metolazone 2.5mg tablets
8196541000033117,zaroxolyn 2.5mg tablets (imported (canada))
8196641000033116,zaroxolyn 5mg tablets (imported (canada))
8197041000033112,indapamide 2.5mg/5ml oral suspension
8263641000033112,perindopril tosilate 5mg / indapamide 1.25mg tablets
896841000033116,metenix 5mg tablets (sanofi)
898341000033114,metolazone tablets 500 micrograms
901441000033118,mefruside tablets 25 mg
903541000033116,metolazone 5mg tablets
90741000033113,atenix co 100 tablets (ashbourne pharmaceuticals ltd)
9121841000033115,cardide sr 1.5mg tablets (teva uk ltd)
92441000033119,atenix co 50 tablets (ashbourne pharmaceuticals ltd)
953141000033119,natrilix sr 1.5mg tablets (servier laboratories ltd)
955341000033117,natrilix 2.5mg tablets (servier laboratories ltd)
