CTV3Codes,Description
x01Ln,Levothyroxine sodium
f921.,Levothyroxine sodium 25micrograms tablet
f926.,Eltroxin 25micrograms tablet
f922.,Levothyroxine sodium 50micrograms tablet
f924.,Eltroxin 50mcg tablet
f923.,Levothyroxine sodium 100micrograms tablet
f925.,Eltroxin 100mcg tablet
f927.,LEVOTHYROXINE SODIUM 25micrograms/5mL oral solution
f92A.,EVOTROX 25micrograms/5mL oral solution
f928.,LEVOTHYROXINE SODIUM 50micrograms/5mL oral solution
f92B.,EVOTROX 50micrograms/5mL oral solution
f929.,LEVOTHYROXINE SODIUM 100micrograms/5mL oral solution
f92C.,EVOTROX 100micrograms/5mL oral solution
f92..,Thyroxine sodium
f92D.,ELTROXIN 25micrograms/5mL oral solution
f92E.,ELTROXIN 50micrograms/5mL oral solution
f92F.,ELTROXIN 100micrograms/5mL oral solution
x01Lm,Liothyronine
f91y.,Liothyronine sodium 20micrograms tablet
f911.,Tertroxin 20mcg tablet
f91z.,Liothyronine sodium 20micrograms injection (pdr for recon)
f912.,Triiodothyronine 20micrograms/mL injection (pdr for recon)
f91..,Liothyronine sodium
