SNOMEDCTCodes,Description
841311000001104,Levothyroxine sodium 100microgram tablets - A A H Pharmaceuticals Ltd
1547511000001100,Levothyroxine sodium 100microgram tablets 28 tablet - A A H Pharmaceuticals Ltd
7898311000001104,Levothyroxine sodium 100microgram tablets 84 tablet - A A H Pharmaceuticals Ltd
1547311000001106,Levothyroxine sodium 100microgram tablets 1000 tablet - A A H Pharmaceuticals Ltd
10436711000001106,Levothyroxine sodium 100microgram tablets - Arrow Generics Ltd
10436811000001103,Levothyroxine sodium 100microgram tablets 28 tablet - Arrow Generics Ltd
30221011000001101,Levothyroxine sodium 100microgram tablets - Mawdsley-Brooks & Company Ltd
37118711000001105,Levothyroxine sodium 100microgram tablets 28 tablet - Mawdsley-Brooks & Company Ltd
30221111000001100,Levothyroxine sodium 100microgram tablets 1000 tablet - Mawdsley-Brooks & Company Ltd
9809311000001104,Levothyroxine sodium 100microgram tablets - Almus Pharmaceuticals Ltd
9809411000001106,Levothyroxine sodium 100microgram tablets 28 tablet - Almus Pharmaceuticals Ltd
37577711000001109,Levothyroxine sodium 100microgram tablets - Aristo Pharma Ltd
37577911000001106,Levothyroxine sodium 100microgram tablets 28 tablet - Aristo Pharma Ltd
210311000001106,Levothyroxine sodium 100microgram tablets - IVAX Pharmaceuticals UK Ltd
1552711000001105,Levothyroxine sodium 100microgram tablets 28 tablet - IVAX Pharmaceuticals UK Ltd
1552611000001101,Levothyroxine sodium 100microgram tablets 1000 tablet - IVAX Pharmaceuticals UK Ltd
39016311000001107,Levothyroxine sodium 100microgram tablets - Medihealth (Northern) Ltd
39016411000001100,Levothyroxine sodium 100microgram tablets 28 tablet - Medihealth (Northern) Ltd
34738711000001103,Levothyroxine sodium 100microgram tablets - NorthStar Healthcare Unlimited Company
34738811000001106,Levothyroxine sodium 100microgram tablets 28 tablet - NorthStar Healthcare Unlimited Company
17936311000001103,Levothyroxine sodium 100microgram tablets - Phoenix Healthcare Distribution Ltd
17936411000001105,Levothyroxine sodium 100microgram tablets 28 tablet - Phoenix Healthcare Distribution Ltd
17936511000001109,Levothyroxine sodium 100microgram tablets 1000 tablet - Phoenix Healthcare Distribution Ltd
4220211000001100,Levothyroxine sodium 100microgram tablets - Mylan
4220311000001108,Levothyroxine sodium 100microgram tablets 28 tablet - Mylan
4220411000001101,Levothyroxine sodium 100microgram tablets 1000 tablet - Mylan
902011000001105,Levothyroxine sodium 100microgram tablets - Teva UK Ltd
1548511000001101,Levothyroxine sodium 100microgram tablets 28 tablet - Teva UK Ltd
7505411000001104,Levothyroxine sodium 100microgram tablets 84 tablet - Teva UK Ltd
10645911000001102,Levothyroxine sodium 100microgram tablets 1000 tablet - Teva UK Ltd
670611000001107,Levothyroxine sodium 100microgram tablets - The Boots Company Plc
1551511000001108,Levothyroxine sodium 100microgram tablets 1000 tablet - The Boots Company Plc
8749011000001105,Levothyroxine sodium 100microgram capsules - Special Order
8749211000001100,Levothyroxine sodium 100microgram capsules 1 capsule - Special Order
313811000001102,Levothyroxine sodium 100microgram tablets - Alliance Healthcare (Distribution) Ltd
1553511000001107,Levothyroxine sodium 100microgram tablets 28 tablet - Alliance Healthcare (Distribution) Ltd
1553611000001106,Levothyroxine sodium 100microgram tablets 1000 tablet - Alliance Healthcare (Distribution) Ltd
783011000001109,Levothyroxine sodium 100microgram tablets - Kent Pharma (UK) Ltd
1553111000001103,Levothyroxine sodium 100microgram tablets 28 tablet - Kent Pharma (UK) Ltd
1553311000001101,Levothyroxine sodium 100microgram tablets 1000 tablet - Kent Pharma (UK) Ltd
19845511000001104,Levothyroxine sodium 100microgram tablets lactose free - Imported (Germany)
15107211000001102,Levothyroxine sodium 100microgram tablets - Sigma Pharmaceuticals Plc
15107311000001105,Levothyroxine sodium 100microgram tablets 28 tablet - Sigma Pharmaceuticals Plc
18726011000001100,Levothyroxine sodium 100microgram tablets 1000 tablet - Sigma Pharmaceuticals Plc
22071311000001101,Levothyroxine sodium 100microgram tablets - Waymade Healthcare Plc
22071411000001108,Levothyroxine sodium 100microgram tablets 28 tablet - Waymade Healthcare Plc
268211000001101,Levothyroxine sodium 100microgram tablets - Accord Healthcare Ltd
1547911000001107,Levothyroxine sodium 100microgram tablets 28 tablet - Accord Healthcare Ltd
1548211000001104,Levothyroxine sodium 100microgram tablets 1000 tablet - Accord Healthcare Ltd
19312711000001105,Levothyroxine sodium 100microgram tablets - Advanz Pharma
19313311000001101,Levothyroxine sodium 100microgram tablets 28 tablet - Advanz Pharma
20537411000001105,Levothyroxine sodium 100microgram tablets 1000 tablet - Advanz Pharma
13580311000001105,Levothyroxine sodium 100microgram tablets - DE Pharmaceuticals
23952611000001100,Levothyroxine sodium 100microgram tablets 28 tablet - DE Pharmaceuticals
13580411000001103,Levothyroxine sodium 100microgram tablets 1000 tablet - DE Pharmaceuticals
15972911000001104,Levothyroxine sodium 100microgram tablets - Zanza Specials International Ltd
15973111000001108,Levothyroxine sodium 100microgram tablets 28 tablet - Zanza Specials International Ltd
15973211000001102,Levothyroxine sodium 100microgram tablets 1000 tablet - Zanza Specials International Ltd
8568811000001101,Levothyroxine sodium 100micrograms/5ml oral suspension - Special Order
8568911000001106,Levothyroxine sodium 100micrograms/5ml oral suspension 1 ml - Special Order
21389111000001107,Levothyroxine sodium 100micrograms/5ml oral suspension 50 ml - Special Order
21388711000001104,Levothyroxine sodium 100micrograms/5ml oral suspension 100 ml - Special Order
8809811000001105,Levothyroxine sodium 100microgram oral powder sachets - Special Order
8809911000001100,Levothyroxine sodium 100microgram oral powder sachets 1 sachet - Special Order
8568111000001108,Levothyroxine sodium 100micrograms/5ml oral solution - Special Order
8568311000001105,Levothyroxine sodium 100micrograms/5ml oral solution 1 ml - Special Order
11253711000001106,Levothyroxine sodium 100micrograms/5ml oral solution sugar free - A A H Pharmaceuticals Ltd
11253811000001103,Levothyroxine sodium 100micrograms/5ml oral solution sugar free 100 ml - A A H Pharmaceuticals Ltd
17972911000001103,Levothyroxine sodium 100micrograms/5ml oral solution sugar free - Almus Pharmaceuticals Ltd
