SNOMEDCTCodes,Description
32247011000001104,Acetic acid 0.5% solution - Special Order
32247111000001103,Acetic acid 0.5% solution 1 ml - Special Order
20348111000001103,Acetic acid 3% solution - Special Order
20348211000001109,Acetic acid 3% solution 1 ml - Special Order
20516411000001103,Acetic acid 3% solution 20 ml - Special Order
20516011000001107,Acetic acid 3% solution 100 ml - Special Order
20516111000001108,Acetic acid 3% solution 200 ml - Special Order
20516211000001102,Acetic acid 3% solution 250 ml - Special Order
20516311000001105,Acetic acid 3% solution 500 ml - Special Order
32768211000001107,Acetic acid 3% solution 1000 ml - Special Order
28401911000001107,Acetic acid 1% solution - Special Order
28402011000001100,Acetic acid 1% solution 1 ml - Special Order
21544211000001108,Acetic acid 0.9% gel - Special Order
21544411000001107,Acetic acid 0.9% gel 1 gram - Special Order
21544311000001100,Acetic acid 0.9% gel 30 gram - Special Order
22207911000001109,Acetic acid 5% ear spray - Special Order
22208011000001106,Acetic acid 5% ear spray 1 ml - Special Order
3697711000001104,EarCalm 2% spray - Teva UK Ltd
3697811000001107,EarCalm 2% spray 5 ml - Teva UK Ltd
20442011000001108,Acetic acid 0.5% liquid - Special Order
20442111000001109,Acetic acid 0.5% liquid 1 ml - Special Order
20442511000001100,Acetic acid 0.5% liquid 150 ml - Special Order
20442311000001106,Acetic acid 0.5% liquid 500 ml - Special Order
20453911000001102,Acetic acid 6% liquid - Special Order
20454011000001104,Acetic acid 6% liquid 1 ml - Special Order
20454111000001103,Acetic acid 6% liquid 100 ml - Special Order
20454211000001109,Acetic acid 6% liquid 200 ml - Special Order
20445111000001102,Acetic acid 2% liquid - Special Order
20445311000001100,Acetic acid 2% liquid 1 ml - Special Order
20445611000001105,Acetic acid 2% liquid 100 ml - Special Order
20445511000001106,Acetic acid 2% liquid 100 gram - Special Order
20445811000001109,Acetic acid 2% liquid 200 ml - Special Order
20447611000001103,Acetic acid 5% liquid - Special Order
20447711000001107,Acetic acid 5% liquid 1 ml - Special Order
20452811000001104,Acetic acid 5% liquid 20 ml - Special Order
20447811000001104,Acetic acid 5% liquid 30 ml - Special Order
20446311000001105,Acetic acid 4% liquid - Special Order
20446411000001103,Acetic acid 4% liquid 1 ml - Special Order
20446511000001104,Acetic acid 4% liquid 100 ml - Special Order
4236911000001105,Acetic acid 33% liquid - J M Loveridge Ltd
4237111000001105,Acetic acid 33% liquid 500 ml - J M Loveridge Ltd
4237211000001104,Acetic acid 33% liquid - Thornton & Ross Ltd
4237311000001107,Acetic acid 33% liquid 500 ml - Thornton & Ross Ltd
20443211000001109,Acetic acid 1% liquid - Special Order
20443311000001101,Acetic acid 1% liquid 1 ml - Special Order
20443411000001108,Acetic acid 1% liquid 100 ml - Special Order
20443611000001106,Acetic acid 1% liquid 500 ml - Special Order
20454811000001105,Acetic acid 10% liquid - Special Order
20454911000001100,Acetic acid 10% liquid 1 ml - Special Order
20455011000001100,Acetic acid 10% liquid 20 ml - Special Order
4236511000001103,Acetic acid 33% liquid - A A H Pharmaceuticals Ltd
4236711000001108,Acetic acid 33% liquid 500 ml - A A H Pharmaceuticals Ltd
4237411000001100,Acetic acid 33% liquid - Alliance Healthcare (Distribution) Ltd
4237611000001102,Acetic acid 33% liquid 500 ml - Alliance Healthcare (Distribution) Ltd
36875211000001108,Acetic acid 33% liquid - Special Order
20443811000001105,Acetic acid 2% liquid
20444011000001102,Acetic acid 2% liquid 1 ml
20444511000001105,Acetic acid 2% liquid 100 ml
20444211000001107,Acetic acid 2% liquid 100 gram
20444711000001100,Acetic acid 2% liquid 200 ml
32391311000001109,Acetic acid 0.5% solution
32246811000001108,Acetic acid 0.5% solution 1 ml
20446711000001109,Acetic acid 5% liquid
20446011000001107,Acetic acid 4% liquid
20446111000001108,Acetic acid 4% liquid 1 ml
20446211000001102,Acetic acid 4% liquid 100 ml
20352711000001103,Acetic acid 3% solution
20348011000001104,Acetic acid 3% solution 1 ml
20515911000001104,Acetic acid 3% solution 20 ml
20515511000001106,Acetic acid 3% solution 100 ml
20515611000001105,Acetic acid 3% solution 200 ml
20515711000001101,Acetic acid 3% solution 250 ml
20515811000001109,Acetic acid 3% solution 500 ml
32768111000001101,Acetic acid 3% solution 1000 ml
20453411000001105,Acetic acid 6% liquid
28414911000001107,Acetic acid 1% solution
4244911000001101,Acetic acid 33% liquid
4236411000001102,Acetic acid 33% liquid 500 ml
21543911000001101,Acetic acid 0.9% gel
21544111000001102,Acetic acid 0.9% gel 30 gram
21544011000001103,Acetic acid 0.9% gel 1 gram
20454311000001101,Acetic acid 10% liquid
20454711000001102,Acetic acid 10% liquid 20 ml
330900004,Acetic acid 2% ear spray
3697611000001108,Acetic acid 2% ear spray 5 ml
22213711000001100,Acetic acid 5% ear spray
22207811000001104,Acetic acid 5% ear spray 1 ml
2917711000001108,Aciclovir 5% cream 10 gram - Genus Pharmaceuticals Ltd
11398311000001103,Aciclovir 5% cream - PLIVA Pharma Ltd
11398411000001105,Aciclovir 5% cream 10 gram - PLIVA Pharma Ltd
9188511000001105,Aciclovir 5% cream - Teva UK Ltd
9188611000001109,Aciclovir 5% cream 2 gram - Teva UK Ltd
9188711000001100,Aciclovir 5% cream 10 gram - Teva UK Ltd
3303211000001105,Aciclovir 5% cream - Alliance Healthcare (Distribution) Ltd
2919811000001108,Aciclovir 5% cream 2 gram - Alliance Healthcare (Distribution) Ltd
2920011000001101,Aciclovir 5% cream 10 gram - Alliance Healthcare (Distribution) Ltd
5519511000001100,Aciclovir 5% cream - Dowelhurst Ltd
5519711000001105,Aciclovir 5% cream 3 gram - Dowelhurst Ltd
5520011000001109,Aciclovir 5% cream 10 gram - Dowelhurst Ltd
333020002,Aciclovir 5% cream
2915611000001106,Aciclovir 5% cream 2 gram
5519311000001106,Aciclovir 5% cream 3 gram
2915811000001105,Aciclovir 5% cream 10 gram
14931911000001103,Aciclovir 5% cream - Pinewood Healthcare
14932011000001105,Aciclovir 5% cream 2 gram - Pinewood Healthcare
29757211000001105,Aciclovir 5% cream - Sigma Pharmaceuticals Plc
29757311000001102,Aciclovir 5% cream 2 gram - Sigma Pharmaceuticals Plc
29757411000001109,Aciclovir 5% cream 10 gram - Sigma Pharmaceuticals Plc
22582611000001105,Aciclovir 5% cream - DE Pharmaceuticals
22583011000001107,Aciclovir 5% cream 2 gram - DE Pharmaceuticals
22582811000001109,Aciclovir 5% cream 10 gram - DE Pharmaceuticals
10376411000001109,Aciclovir 5% cream - Arrow Generics Ltd
10376511000001108,Aciclovir 5% cream 2 gram - Arrow Generics Ltd
10376611000001107,Aciclovir 5% cream 10 gram - Arrow Generics Ltd
29989111000001108,Aciclovir 5% cream - Mawdsley-Brooks & Company Ltd
29989211000001102,Aciclovir 5% cream 2 gram - Mawdsley-Brooks & Company Ltd
17749611000001109,Aciclovir 5% cream - Phoenix Healthcare Distribution Ltd
17749811000001108,Aciclovir 5% cream 2 gram - Phoenix Healthcare Distribution Ltd
17750011000001107,Aciclovir 5% cream 10 gram - Phoenix Healthcare Distribution Ltd
36922211000001105,Aciclovir 5% cream - Relonchem Ltd
36922311000001102,Aciclovir 5% cream 10 gram - Relonchem Ltd
21751111000001103,Aciclovir 5% cream - Waymade Healthcare Plc
21751311000001101,Aciclovir 5% cream 2 gram - Waymade Healthcare Plc
21751211000001109,Aciclovir 5% cream 2 gram - Waymade Healthcare Plc
21751411000001108,Aciclovir 5% cream 10 gram - Waymade Healthcare Plc
2918811000001101,Aciclovir 5% cream - Pfizer Ltd
2919011000001102,Aciclovir 5% cream 2 gram - Pfizer Ltd
2919111000001101,Aciclovir 5% cream 10 gram - Pfizer Ltd
20279211000001109,Aciclovir 5% cream - Sandoz Ltd
20279311000001101,Aciclovir 5% cream 2 gram - Sandoz Ltd
2916111000001109,Aciclovir 5% cream - A A H Pharmaceuticals Ltd
2916211000001103,Aciclovir 5% cream 2 gram - A A H Pharmaceuticals Ltd
2916311000001106,Aciclovir 5% cream 10 gram - A A H Pharmaceuticals Ltd
3303411000001109,Aciclovir 5% cream - Actavis UK Ltd
