V2Codes,Description
mc51.,BACTROBAN 2% ointment 15g
mc52.,BACTROBAN 2% cream 15g
mc5y.,MUPIROCIN 2% cream
mc5z.,MUPIROCIN 2% ointment
la1y.,MUPIROCIN 2% nasal ointment
mc91.,FLAMAZINE 1% cream 50g
mc92.,FLAMAZINE 1% cream 250g
mc93.,FLAMAZINE 1% cream 500g
mc94.,FLAMAZINE 1% cream 20g
mc9z.,SILVER SULFADIAZINE 1% cream
m458.,FUCIDIN-H cream 30g
m45A.,FUCIDIN-H cream 60g
md21.,FUCIDIN 2% cream 15g
md22.,FUCIDIN 2% cream 30g
eb41.,FUCIDIN 250mg tablets
md28.,FUCIDIN 2% ointment 30g
md27.,FUCIDIN 2% ointment 15g
eb42.,FUCIDIN 250mg/5mL suspension
meg8.,METRONIDAZOLE 0.75% gel
megw.,METRONIDAZOLE 0.75% gel 15g
megu.,METRONIDAZOLE 0.75% gel 30g
megz.,METRONIDAZOLE 0.75% gel 40g
g531.,METRONIDAZOLE 0.75% vaginal gel
lcA2.,METRONIDAZOLE BENZOATE 25% dental gel
mc6..,NEOMYCIN SULFATE [SKIN]
mc61.,NEOMYCIN 0.5% cream
mc62.,NEOMYCIN 0.5% ointment 15g
mc63.,NEOMYCIN 0.5% ointment 28g
mc64.,*CICATRIN cream 15g
mc65.,*CICATRIN cream 30g
mc66.,*GRANEODIN ointment 15g
mc67.,*MYCIGUENT ointment 28.4g
mc68.,*CICATRIN powder 15g
mc69.,*CICATRIN powder 50g
mc6a.,*CICATRIN spray 103g
mc6b.,*POLYBACTRIN spray 109g
mc6c.,*TRIBIOTIC spray 110g
mc6d.,*GRANEODIN ointment 25g
m49x.,BETAMETHASONE+NEOMYCIN SULPHATE 0.1%/0.5% cream
m49w.,BETAMETHASONE+NEOMYCIN SULPHATE 0.1%/0.5% ointment
m4gq.,FLUOCINOLONE ACETONIDE+NEOMYCIN SULFATE 0.025%/0.5% cream
la1z.,CHLORHEXIDINE HYDROCHLORIDE+NEOMYCIN SULFATE 0.1%/0.5% cream
m4gr.,FLUOCINOLONE ACETONIDE+NEOMYCIN SULFATE 0.025%/0.5% ointment
me4..,CLOTRIMAZOLE [SKIN]
me41.,CANESTEN 1% cream 20g
me42.,CANESTEN 1% cream 50g
me43.,CANESTEN 1% solution 20mL
me44.,CANESTEN 1% spray 40mL
me45.,CANESTEN 1% powder 30g
me46.,*LOTRIDERM cream 15g
me47.,*CLOTRIMAZOLE 1% cream
me48.,*MASNODERM 1% cream 20g
me49.,CANESTEN AF 1% cream 15g
me4A.,CANESTEN AF 1% powder 30g
me4B.,CANESTEN AF 1% spray 25mL
me4C.,*CANDIDEN 1% cream 20g
me4D.,LOTRIDERM cream 30g
me4E.,*ABTRIM 1% cream 20g
me4F.,CANESTEN AF DUAL ACTION 1% cream 30g
me4w.,CLOTRIMAZOLE 1% cream
me4x.,BETAMETHASONE+CLOTRIMAZOLE 0.05%/1% cream
me4y.,CLOTRIMAZOLE 1% spray
me4z.,CLOTRIMAZOLE 1% powder
g429.,CLOTRIMAZOLE 1% cream
l33z.,CLOTRIMAZOLE 1% solution
g42r.,CLOTRIMAZOLE 500mg+2% pessary+cream
g42q.,CLOTRIMAZOLE 2%+10% cream+applicator
m45Z.,HYDROCORTISONE+CLOTRIMAZOLE 1%/1% cream
g42o.,CLOTRIMAZOLE 500mg+2% soft gel pessary+cream
eh8i.,FLUCONAZOLE 150mg capsule + CLOTRIMAZOLE 2% cream
g461.,GYNO-DAKTARIN 2% vaginal cream 78g
g466.,*MONISTAT 2% cream 78g
g468.,MICONAZOLE 2% vaginal cream
g46e.,*FEMERON 2% cream
me71.,MICONAZOLE 2% cream
me72.,DAKTARIN 2% cream 15g
me73.,*DAKTARIN powder 100g
me74.,*DAKTARIN Twin pack
me75.,*DERMONISTAT cream 30g
me76.,DAKTARIN dry powder spray 100g
me77.,DAKTARIN dusting powder 20g
me78.,DAKTARIN 2% cream 30g
me79.,DAKTARIN DUAL ACTION 2% cream 30g
me7A.,*ACORVIO 2% cream 20g
me7B.,*ACORVIO 2% cream 45g
me7C.,ACORVIO PLUS 2%/0.1% cream 20g
me7D.,ACORVIO PLUS 2%/0.1% cream 45g
me7E.,DAKTARIN AKTIV powder spray 100g
me7F.,DAKTARIN AKTIV powder 20g
me7G.,DAKTARIN AKTIV cream 30g
me7H.,DAKTARIN AKTIV cream 15g
me7w.,MICONAZOLE NITRATE+FLUPREDNIDENE ACETATE 2%/0.1% cream
me7x.,MICONAZOLE 2% dusting powder
me7y.,MICONAZOLE 0.16% powder spray
me7z.,*MICONAZOLE 2% twin pack
m45Y.,HYDROCORTISONE+MICONAZOLE NITRATE 1%/2% cream
m45X.,HYDROCORTISONE+MICONAZOLE NITRATE 1%/2% ointment
mej1.,*LAMISIL 1% cream 15g
mej2.,LAMISIL 1% cream 30g
mej3.,TERBINAFINE HYDROCHLORIDE 1% cream 15g
mej4.,TERBINAFINE HYDROCHLORIDE 1% cream 30g
mej5.,LAMISIL AT 1% cream 7.5g
mej6.,LAMISIL AT 1% Spray
mej7.,LAMISIL AT 1% gel 15g
mej8.,LAMISIL ONCE 1% topical solution 4g
mejw.,TERBINAFINE HYDROCHLORIDE 1% topical solution
mejx.,TERBINAFINE HYDROCHLORIDE 1% gel
mejy.,TERBINAFINE HYDROCHLORIDE 1% spray
mejz.,TERBINAFINE HYDROCHLORIDE 1% cream
meh1.,AMOROLFINE 5% lacquer
meh2.,LOCERYL 5% lacquer 5mL
meh3.,*LOCERYL 0.25% cream 20g
meh4.,*AMOROLFINE 0.25% cream
meh5.,CURANAIL 5% lacquer 3mL
meh6.,OMICUR 5% medicated nail lacquer 2.5mL
meh7.,CLAVUSIMYL 5% medicated nail lacquer 5mL
meh8.,LOCERYL 5% medicated nail lacquer 2.5mL
me6..,KETOCONAZOLE [SKIN]
me61.,NIZORAL 2% cream 30g
me62.,KETOCONAZOLE 2% cream
me63.,DAKTARIN GOLD 2% cream 15g
mb1v.,KETOCONAZOLE 20mg/mL shampoo
me51.,*ECONAZOLE 1% cream
me52.,*ECONAZOLE 1% cream 30g
me53.,*ECONAZOLE 1% lotion
me54.,*ECOSTATIN 1% cream 15g
me55.,*ECOSTATIN 1% cream 30g
me56.,*ECOSTATIN 1% lotion 30mL
me57.,ECOSTATIN 1% spray solution 150g
me58.,ECOSTATIN 1% dusting powder 30g
me59.,ECOSTATIN 1% dry powder spray 200g
me5a.,PEVARYL 1% cream 30g
me5b.,*PEVARYL 1% lotion 30mL
me5c.,PEVARYL 1% dry powder spray 200g
me5d.,*PEVARYL TC 1% cream 15g
me5e.,*PEVARYL 1% powder 30g
me5s.,ECONAZOLE NITRATE 1% cream 15g
me5t.,ECONAZOLE NITRATE 1% cream 30g
me5u.,*ECONAZOLE NITRATE 1% cream
me5v.,*ECONAZOLE NITRATE 1% lotion
me5w.,ECONAZOLE NITRATE 1% application
me5x.,*ECONAZOLE NITRATE 1% powder
me5y.,*ECONAZOLE NITRATE 1% spray
me5z.,*ECONAZOLE NITRATE 1% aerosol
mef1.,TIOCONAZOLE 28% solution 12mL
mef2.,TROSYL 28% solution 12mL
mef3.,*TIOCONAZOLE 1% cream 15g
mef4.,*TROSYL 1% cream 15g
mef5.,*TIOCONAZOLE 1% cream 30g
mef6.,*TROSYL 1% cream 30g
mea..,NYSTATIN [SKIN]
mea1.,*MULTILIND ointment 50g
mea2.,NYSTAFORM cream 30g
mea3.,*NYSTAFORM ointment 30g
mea4.,"NYSTAN 100,000units/g cream 15g"
mea5.,"NYSTAN 100,000units/g cream 30g"
mea6.,"*NYSTAN 100,000units/g gel 30g"
