ProdCodeId,Description
1047541000033111,penciclovir 1% cream
1047641000033112,pevaryl 1% cream (janssen-cilag ltd)
10476441000033111,"clobetasol 500microgram / neomycin 5mg / nystatin 100,000units/g cream"
10476541000033112,"clobetasol 500microgram / neomycin 5mg / nystatin 100,000units/g ointment"
1047841000033113,permethrin 5% cream
1062241000033116,permethrin 1% scalp application
10729241000033111,hedrin once liquid gel (thornton & ross ltd)
10729341000033118,hedrin once spray gel (thornton & ross ltd)
1094841000033114,povidone-iodine 10% alcoholic solution
1094941000033118,povidone-iodine 10% vaginal cleansing solution
1099041000033115,povidone-iodine dry powder spray 0.5 %
1100941000033119,povidone-iodine 2.5% dry powder spray
1105941000033111,povidone-iodine 10% ointment
1106641000033112,povidone-iodine 200mg pessaries
1107741000033118,povidone-iodine 4% skin cleanser solution
110841000033113,bactroban 2% ointment (glaxosmithkline uk ltd)
1113141000033113,prioderm 1% cream shampoo (ssl international plc)
1147741000033110,quellada-m 1% cream shampoo (glaxosmithkline consumer healthcare)
11753841000033117,"nystatin 100,000units/g / chlorhexidine hydrochloride 1% / hydrocortisone 0.5% cream"
11802441000033119,"nystatin 100,000units/g / chlorhexidine acetate 1% / hydrocortisone 1% ointment"
1180341000033119,rozex 0.75% gel (galderma (uk) ltd)
11898241000033115,lyclear lotion (omega pharma ltd)
122141000033110,betadine vc kit 10% solution (molnlycke health care ltd)
122541000033118,benzyl benzoate 25% application
1228141000033114,savlon antiseptic cream (thornton & ross ltd)
12471841000033113,hibiscrub plus 4% solution (molnlycke health care ltd)
1254441000033111,hibicet hospital concentrate liquid (molnlycke health care ltd)
127341000033111,betadine 2.5% dry powder spray (aspire pharma ltd)
128141000033112,betadine gel 10 %
12984941000033114,gentamicin 0.1% cream
1300541000033116,siopel cream (derma uk ltd)
13288341000033112,chlorhexidine gluconate 0.1% / cetrimide 0.5% cream
13304541000033117,grisol 1% spray (transdermal ltd)
135241000033113,betnovate-n ointment (chemidex pharma ltd)
135441000033114,betadine 10% ointment (molnlycke health care ltd)
135941000033116,betadine 200mg vaginal pessaries (molnlycke health care ltd)
1385041000033118,sterexidine solution 0.02 %
138841000033115,betadine 4% shampoo (molnlycke health care ltd)
138941000033111,betadine 4% skin cleanser (molnlycke health care ltd)
1393041000033116,suleo-m 0.5% lotion (ssl international plc)
1399741000033116,synalar n cream (reig jofre uk ltd)
1402341000033118,synalar n ointment (reig jofre uk ltd)
1415241000033118,terbinafine 1% cream
1415341000033111,terra-cortril nystatin cream (pfizer ltd)
1437541000033119,tinaderm-m cream (schering-plough ltd)
1442041000033110,tioconazole 283mg/ml medicated nail lacquer
1456641000033115,trimovate cream (ennogen healthcare ltd)
1463241000033115,trosyl 283mg/ml nail solution (pfizer ltd)
147541000033119,betadine 10% vaginal gel (ssl international plc)
1506741000033112,vectavir cold sore 1% cream (novartis consumer health uk ltd)
1558641000033112,zidoval 0.75% vaginal gel (mylan)
1559541000033116,zovirax 5% cream (glaxosmithkline uk ltd)
1577741000033116,betadine 5% cream (ssl international plc)
1581641000033113,cepton 0.1% medicated lotion (boston healthcare ltd)
1582441000033115,chlorhexidine gluconate 0.5% solution
1667241000033110,povidone-iodine 5% cream
1795041000033116,virasorb cold sore 5% cream (thornton & ross ltd)
1845541000033115,hydrocortisone 1% / clotrimazole 1% cream
18641000033118,adcortyl with graneodin ointment
1866841000033119,acetic acid 2% ear spray
1866941000033110,earcalm 2% spray (teva uk ltd)
188941000033117,canesten 1% cream (bayer plc)
189041000033114,canesten 10% vc cream (bayer plc)
189141000033113,canesten hc cream (bayer plc)
1902441000033114,zyomet 0.75% gel (advanz pharma)
1916341000033117,neutratop 0.75% gel (smith & nephew healthcare ltd)
202741000033118,canesten combi pessary and cream
203841000033118,canesten dermatological 1% powder (bayer plc)
2051541000033119,chlorhexidine 1% powder
205241000033116,canesten 1% solution (bayer plc)
205441000033115,canesten spray 1 %
2056741000033115,bactroban 2% cream (glaxosmithkline uk ltd)
2056841000033113,mupirocin 2% cream
2076141000033116,povidone-iodine 1.14% dry powder spray
2076241000033111,savlon dry 1.14% spray (novartis consumer health uk ltd)
2084641000033110,acetic acid 33% liquid
2146341000033113,canesten combi 500mg pessary and 2% cream (bayer plc)
2147941000033114,clotrimazole 500mg pessary and clotrimazole 2% cream
2175341000033118,lignocaine and chlorhexidine gel (6 ml syringe) 2 % + 0.25 %
2175441000033112,lignocaine and chlorhexidine gel (11 ml syringe) 2 % + 0.25 %
2184941000033112,clotrimazole 2% cream
2185041000033112,canesten 2% thrush cream (bayer plc)
218941000033116,canesten 500mg pessaries (bayer plc)
219041000033113,canesten 100mg pessaries (bayer plc)
219141000033112,canesten vaginal 500mg pessaries (bayer plc)
