CTV3Codes,Description
Xa8Q6,Laser destruction of skin lesion
7G070,Laser destruction of lesion of skin of head or neck
7G071,Laser destruction of lesion of skin NEC
XaAsf,Low power laser therapy to elbow
XaAsZ,Low power laser therapy to upper limb
XaAse,Low power laser therapy to shoulder
XaAsg,Low power laser therapy to wrist
XaAsh,Low power laser therapy to hand
XaAsa,Low power laser therapy to face
XaAsb,Low power laser therapy to neck
XaAsc,Low power laser therapy to trunk
XaAsi,Low power laser therapy to back
XaAsj,Low power laser therapy to pelvis
XaAsk,Low power laser therapy to abdomen
XaAsd,Low power laser therapy to lower limb
XaAsl,Low power laser therapy to hip
XaAsm,Low power laser therapy to knee
XaAsn,Low power laser therapy to ankle
XaAso,Low power laser therapy to foot
X00KZ,Laser acupuncture therapy
X00Ua,Laser therapy to lesion of eyelid
XaC0d,Laser removal of hair
