SNOMEDCTCodes,Description
707286005,Pulsed dye laser therapy to skin (procedure)
1051921000000109,Photodynamic laser therapy to lesion of skin (procedure)
231088001,Laser acupuncture (regime/therapy)
306824002,Low power laser therapy to back (procedure)
306816007,Low power laser therapy to face (procedure)
306819000,Low power laser therapy to lower limb (procedure)
306829007,Low power laser therapy to ankle (procedure)
306827009,Low power laser therapy to hip (procedure)
306828004,Low power laser therapy to knee (procedure)
306817003,Low power laser therapy to neck (procedure)
306818008,Low power laser therapy to trunk (procedure)
306826000,Low power laser therapy to abdomen (procedure)
306825001,Low power laser therapy to pelvis (procedure)
306815006,Low power laser therapy to upper limb (procedure)
306821005,Low power laser therapy to elbow (procedure)
306822003,Low power laser therapy to wrist (procedure)
306820006,Low power laser therapy to shoulder (procedure)
231595002,Laser therapy to lesion of eyelid (procedure)
