CTV3Codes,Description
m4e..,Diflucortolone valerate
m4ey.,Diflucortolone valerate 0.3% ointment
x01Mo,Nerisone Forte 0.3% ointment
m4e5.,Nerisone Forte 0.3% ointment 15g
m4ex.,Diflucortolone valerate 0.3% oily cream
x01Mq,Nerisone Forte 0.3% oily cream
m4e4.,Nerisone Forte 0.3% oily cream 15g
m4a..,Clobetasol propionate
x00G3,Dermovate cream
m4a1.,Dermovate 0.05% cream 30g
m4a2.,Dermovate 0.05% cream 100g
m4a9.,Clobetasol 0.05% cream 30g
m4aa.,Clobetasol 0.05% cream 100g
x00Wj,Clobetasol propionate 0.05% ointment
x00Wm,Dermovate ointment
m4a3.,Dermovate 0.05% ointment 30g
m4a4.,Dermovate 0.05% ointment 100g
m4ab.,Clobetasol 0.05% ointment 30g
m4ac.,Clobetasol 0.05% ointment 100g
x060R,Clobetasol propionate 500micrograms/g foam
x060S,Clarelux 500micrograms/g foam
m4ag.,Clarelux 500microgram/g foam 100g
m4az.,Clobetasol 500micrograms/g foam 100g
x00bp,Clobetasol propionate 0.05% scalp application
x00bq,Dermovate scalp application
m4a5.,Dermovate 0.25% scalp application 25mL
m4a6.,Dermovate 0.05% scalp application 100mL
m4af.,Dermovate 0.05% scalp application 30mL
m4ad.,Clobetasol 0.05% scalp application 25mL
m4ae.,Clobetasol 0.05% scalp application 100mL
m4ax.,Clobetasol scalp application 100mL
m4ay.,Clobetasol scalp application 100g
