ProdCodeId,Description
11748241000033112,propylene glycol 40% in clobetasol 0.05% cream
12583841000033110,clobetasol 0.05% ointment 50% / propylene glycol 48% / salicylic acid 2% ointment
13158141000033117,salicylic acid 5% / propylene glycol 47.5% in clobetasol 0.05% cream
266041000033119,clobetasol 0.05% cream
277941000033111,clobetasol 0.05% ointment
282241000033113,clobetasol 0.05% scalp application
3910041000033110,clobetasol 500micrograms/g foam
3910141000033114,clarelux 500micrograms/g foam (pierre fabre dermo-cosmetique)
417941000033119,dermovate 0.05% cream (glaxosmithkline uk ltd)
425841000033111,dermovate 0.05% ointment (glaxosmithkline uk ltd)
427641000033116,dermovate 0.05% scalp application (glaxosmithkline uk ltd)
